"job_id","schema_version","name","K","L_add","L_rec","L_dom","L_prec","L_pdom","all_additive","n","L","pve","seed_base","reps_per_chunk","chunk","min_maf","hwe_thresh","min_n_rec","slide_min_obs","delta_prec","delta_pdom","output_file"
11,2,"dominant",1,0,0,1,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom1_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
12,2,"dominant",1,0,0,1,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom1_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
13,2,"dominant",1,0,0,1,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom1_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
14,2,"dominant",1,0,0,1,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom1_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
15,2,"dominant",1,0,0,1,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom1_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
16,2,"recessive",1,0,1,0,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec1_dom0_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
17,2,"recessive",1,0,1,0,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec1_dom0_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
18,2,"recessive",1,0,1,0,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec1_dom0_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
19,2,"recessive",1,0,1,0,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec1_dom0_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
20,2,"recessive",1,0,1,0,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec1_dom0_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
21,2,"additive",1,1,0,0,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_add1_rec0_dom0_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
22,2,"additive",1,1,0,0,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_add1_rec0_dom0_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
23,2,"additive",1,1,0,0,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_add1_rec0_dom0_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
24,2,"additive",1,1,0,0,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_add1_rec0_dom0_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
25,2,"additive",1,1,0,0,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_add1_rec0_dom0_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
26,2,"partial_dominant",2,0,0,0,0,2,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom2_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
27,2,"partial_dominant",2,0,0,0,0,2,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom2_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
28,2,"partial_dominant",2,0,0,0,0,2,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom2_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
29,2,"partial_dominant",2,0,0,0,0,2,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom2_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
30,2,"partial_dominant",2,0,0,0,0,2,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom2_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
31,2,"partial_recessive_partial_dominant",2,0,0,0,1,1,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_partial_dominant_add0_rec0_dom0_prec1_pdom1_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
32,2,"partial_recessive_partial_dominant",2,0,0,0,1,1,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_partial_dominant_add0_rec0_dom0_prec1_pdom1_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
33,2,"partial_recessive_partial_dominant",2,0,0,0,1,1,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_partial_dominant_add0_rec0_dom0_prec1_pdom1_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
34,2,"partial_recessive_partial_dominant",2,0,0,0,1,1,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_partial_dominant_add0_rec0_dom0_prec1_pdom1_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
35,2,"partial_recessive_partial_dominant",2,0,0,0,1,1,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_partial_dominant_add0_rec0_dom0_prec1_pdom1_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
36,2,"partial_recessive",2,0,0,0,2,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec2_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
37,2,"partial_recessive",2,0,0,0,2,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec2_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
38,2,"partial_recessive",2,0,0,0,2,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec2_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
39,2,"partial_recessive",2,0,0,0,2,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec2_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
40,2,"partial_recessive",2,0,0,0,2,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec2_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
41,2,"dominant_partial_dominant",2,0,0,1,0,1,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_dominant_add0_rec0_dom1_prec0_pdom1_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
42,2,"dominant_partial_dominant",2,0,0,1,0,1,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_dominant_add0_rec0_dom1_prec0_pdom1_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
43,2,"dominant_partial_dominant",2,0,0,1,0,1,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_dominant_add0_rec0_dom1_prec0_pdom1_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
44,2,"dominant_partial_dominant",2,0,0,1,0,1,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_dominant_add0_rec0_dom1_prec0_pdom1_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
45,2,"dominant_partial_dominant",2,0,0,1,0,1,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_dominant_add0_rec0_dom1_prec0_pdom1_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
46,2,"dominant_partial_recessive",2,0,0,1,1,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_recessive_add0_rec0_dom1_prec1_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
47,2,"dominant_partial_recessive",2,0,0,1,1,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_recessive_add0_rec0_dom1_prec1_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
48,2,"dominant_partial_recessive",2,0,0,1,1,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_recessive_add0_rec0_dom1_prec1_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
49,2,"dominant_partial_recessive",2,0,0,1,1,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_recessive_add0_rec0_dom1_prec1_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
50,2,"dominant_partial_recessive",2,0,0,1,1,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_partial_recessive_add0_rec0_dom1_prec1_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
51,2,"dominant",2,0,0,2,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom2_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
52,2,"dominant",2,0,0,2,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom2_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
53,2,"dominant",2,0,0,2,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom2_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
54,2,"dominant",2,0,0,2,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom2_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
55,2,"dominant",2,0,0,2,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/dominant_add0_rec0_dom2_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
56,2,"recessive_partial_dominant",2,0,1,0,0,1,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_dominant_add0_rec1_dom0_prec0_pdom1_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
57,2,"recessive_partial_dominant",2,0,1,0,0,1,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_dominant_add0_rec1_dom0_prec0_pdom1_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
58,2,"recessive_partial_dominant",2,0,1,0,0,1,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_dominant_add0_rec1_dom0_prec0_pdom1_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
59,2,"recessive_partial_dominant",2,0,1,0,0,1,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_dominant_add0_rec1_dom0_prec0_pdom1_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
60,2,"recessive_partial_dominant",2,0,1,0,0,1,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_dominant_add0_rec1_dom0_prec0_pdom1_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
61,2,"recessive_partial_recessive",2,0,1,0,1,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_recessive_add0_rec1_dom0_prec1_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
62,2,"recessive_partial_recessive",2,0,1,0,1,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_recessive_add0_rec1_dom0_prec1_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
63,2,"recessive_partial_recessive",2,0,1,0,1,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_recessive_add0_rec1_dom0_prec1_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
64,2,"recessive_partial_recessive",2,0,1,0,1,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_recessive_add0_rec1_dom0_prec1_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
65,2,"recessive_partial_recessive",2,0,1,0,1,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_partial_recessive_add0_rec1_dom0_prec1_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
66,2,"recessive_dominant",2,0,1,1,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_dominant_add0_rec1_dom1_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
67,2,"recessive_dominant",2,0,1,1,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_dominant_add0_rec1_dom1_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
68,2,"recessive_dominant",2,0,1,1,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_dominant_add0_rec1_dom1_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
69,2,"recessive_dominant",2,0,1,1,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_dominant_add0_rec1_dom1_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
70,2,"recessive_dominant",2,0,1,1,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_dominant_add0_rec1_dom1_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
71,2,"recessive",2,0,2,0,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec2_dom0_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
72,2,"recessive",2,0,2,0,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec2_dom0_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
73,2,"recessive",2,0,2,0,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec2_dom0_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
74,2,"recessive",2,0,2,0,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec2_dom0_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
75,2,"recessive",2,0,2,0,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/recessive_add0_rec2_dom0_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
76,2,"additive_partial_dominant",2,1,0,0,0,1,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_dominant_add1_rec0_dom0_prec0_pdom1_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
77,2,"additive_partial_dominant",2,1,0,0,0,1,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_dominant_add1_rec0_dom0_prec0_pdom1_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
78,2,"additive_partial_dominant",2,1,0,0,0,1,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_dominant_add1_rec0_dom0_prec0_pdom1_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
79,2,"additive_partial_dominant",2,1,0,0,0,1,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_dominant_add1_rec0_dom0_prec0_pdom1_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
80,2,"additive_partial_dominant",2,1,0,0,0,1,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_dominant_add1_rec0_dom0_prec0_pdom1_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
81,2,"additive_partial_recessive",2,1,0,0,1,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_recessive_add1_rec0_dom0_prec1_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
82,2,"additive_partial_recessive",2,1,0,0,1,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_recessive_add1_rec0_dom0_prec1_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
83,2,"additive_partial_recessive",2,1,0,0,1,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_recessive_add1_rec0_dom0_prec1_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
84,2,"additive_partial_recessive",2,1,0,0,1,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_recessive_add1_rec0_dom0_prec1_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
85,2,"additive_partial_recessive",2,1,0,0,1,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_partial_recessive_add1_rec0_dom0_prec1_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
86,2,"additive_dominant",2,1,0,1,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_dominant_add1_rec0_dom1_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
87,2,"additive_dominant",2,1,0,1,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_dominant_add1_rec0_dom1_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
88,2,"additive_dominant",2,1,0,1,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_dominant_add1_rec0_dom1_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
89,2,"additive_dominant",2,1,0,1,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_dominant_add1_rec0_dom1_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
90,2,"additive_dominant",2,1,0,1,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_dominant_add1_rec0_dom1_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
91,2,"additive_recessive",2,1,1,0,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_recessive_add1_rec1_dom0_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
92,2,"additive_recessive",2,1,1,0,0,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_recessive_add1_rec1_dom0_prec0_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
93,2,"additive_recessive",2,1,1,0,0,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_recessive_add1_rec1_dom0_prec0_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
94,2,"additive_recessive",2,1,1,0,0,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_recessive_add1_rec1_dom0_prec0_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
95,2,"additive_recessive",2,1,1,0,0,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_recessive_add1_rec1_dom0_prec0_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
96,2,"additive",2,2,0,0,0,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/additive_add2_rec0_dom0_prec0_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
