"scenario","pve","method","target_fdr","threshold","empirical_fdr","power","tp","fp"
"Additive + dominant",0.3,"SuSiE-mix",0.1,0.737,0.0998735777496839,0.178022252781598,2848,316
"Additive + recessive",0.3,"SuSiE",0.1,0.872,0.0996978851963746,0.0745,1192,132
"Additive + recessive",0.3,"SuSiE-mix",0.1,0.654,0.0997449702465288,0.1985625,3177,352
"Additive + recessive + dominant",0.3,"SuSiE",0.1,0.851,0.0989966555183946,0.0748333333333333,1347,148
"Additive + recessive + dominant",0.3,"SuSiE-mix",0.1,0.691,0.0997405592389738,0.1735,3123,346
"Additive only",0.3,"SuSiE",0.1,0.749,0.0997088791848617,0.206235411803935,1237,137
"Additive only",0.3,"SuSiE-mix",0.1,0.742,0.099702380952381,0.201733911303768,1210,134
"Dominant only",0.3,"SuSiE",0.1,0.776,0.1,0.165055018339446,990,110
"Dominant only",0.3,"SuSiE-mix",0.1,0.654,0.0983072916666667,0.230910303434478,1385,151
"Recessive + dominant",0.3,"SuSiE",0.1,0.855,0.099581589958159,0.06725,1076,119
"Recessive + dominant",0.3,"SuSiE-mix",0.1,0.653,0.1,0.201375,3222,358
"Recessive only",0.3,"SuSiE",0.1,0.874,0.0993377483443709,0.0453333333333333,272,30
"Recessive only",0.3,"SuSiE-mix",0.1,0.538,0.099290780141844,0.254,1524,168
"Additive + dominant",0.4,"SuSiE",0.1,0.785,0.0991913746630728,0.20890111263908,3342,368
"Additive + dominant",0.4,"SuSiE-mix",0.1,0.684,0.0999776336390069,0.251531441430179,4024,447
"Additive + recessive",0.4,"SuSiE",0.1,0.817,0.0994178235557546,0.1256875,2011,222
"Additive + recessive",0.4,"SuSiE-mix",0.1,0.625,0.0996380668511816,0.2643125,4229,468
"Additive + recessive + dominant",0.4,"SuSiE",0.1,0.858,0.0997830802603037,0.115277777777778,2075,230
"Additive + recessive + dominant",0.4,"SuSiE-mix",0.1,0.652,0.0999192571659265,0.247722222222222,4459,495
"Additive only",0.4,"SuSiE",0.1,0.711,0.0998326826547686,0.269089696565522,1614,179
"Additive only",0.4,"SuSiE-mix",0.1,0.714,0.0993227990970655,0.266088696232077,1596,176
"Dominant only",0.4,"SuSiE",0.1,0.792,0.0995228357191547,0.220240080026676,1321,146
"Dominant only",0.4,"SuSiE-mix",0.1,0.602,0.099112426035503,0.304601533844615,1827,201
"Recessive + dominant",0.4,"SuSiE",0.1,0.895,0.0997596153846154,0.093625,1498,166
"Recessive + dominant",0.4,"SuSiE-mix",0.1,0.578,0.0998196031268791,0.2806875,4491,498
"Recessive only",0.4,"SuSiE",0.1,0.947,0.0992555831265509,0.0605,363,40
"Recessive only",0.4,"SuSiE-mix",0.1,0.502,0.098747591522158,0.311833333333333,1871,205
