"scope","pve","K","n_runs","sum_lead_pip","n_exact","n_wrong_coding","n_wrong_snp","n_ambiguous","n_no_support","n_lead_additive","n_lead_recessive","n_lead_dominant","n_unique","mean_lead_pip","fraction_exact","fraction_wrong_coding","fraction_wrong_snp","fraction_ambiguous","fraction_no_support","exact_accuracy_unique","share_unique_additive","share_unique_recessive","share_unique_dominant"
"Additive only",0.4,3,400,288.91072243857,262,10,81,47,0,341,0,12,353,0.722276806096424,0.655,0.025,0.2025,0.1175,0,0.742209631728045,0.96600566572238,0,0.0339943342776204
"All simulations",0.4,3,4000,2969.28822068601,2663,85,646,606,0,1124,1170,1100,3394,0.742322055171504,0.66575,0.02125,0.1615,0.1515,0,0.784619917501473,0.331172657631114,0.344725987035946,0.32410135533294
"Additive only",0.1,4,400,78.7434211863222,61,17,245,77,0,220,21,82,323,0.196858552965806,0.1525,0.0425,0.6125,0.1925,0,0.188854489164087,0.681114551083591,0.065015479876161,0.253869969040248
"All simulations",0.1,4,6000,1240.03864252219,1037,214,3402,1326,21,1673,1403,1577,4653,0.206673107087032,0.172833333333333,0.0356666666666667,0.567,0.221,0.0035,0.222866967547819,0.359552976574253,0.301525897270578,0.338921126155169
"Additive only",0.2,4,400,190.056837629286,157,24,155,64,0,285,3,48,336,0.475142094073215,0.3925,0.06,0.3875,0.16,0,0.467261904761905,0.848214285714286,0.00892857142857143,0.142857142857143
"All simulations",0.2,4,6000,3066.44277626513,2685,258,2033,1024,0,1708,1678,1590,4976,0.511073796044189,0.4475,0.043,0.338833333333333,0.170666666666667,0,0.539590032154341,0.343247588424437,0.337218649517685,0.319533762057878
"Additive only",0.3,4,400,258.865602096188,229,19,111,41,0,329,2,28,359,0.647164005240469,0.5725,0.0475,0.2775,0.1025,0,0.637883008356546,0.916434540389972,0.00557103064066852,0.0779944289693593
"All simulations",0.3,4,6000,4093.56672301049,3726,198,1301,775,0,1730,1866,1629,5225,0.682261120501748,0.621,0.033,0.216833333333333,0.129166666666667,0,0.71311004784689,0.3311004784689,0.357129186602871,0.31177033492823
"Additive only",0.4,4,400,299.130033541392,262,11,88,39,0,347,0,14,361,0.747825083853481,0.655,0.0275,0.22,0.0975,0,0.725761772853186,0.961218836565097,0,0.038781163434903
"All simulations",0.4,4,6000,4606.75436881751,4199,120,1000,681,0,1760,1917,1642,5319,0.767792394802919,0.699833333333333,0.02,0.166666666666667,0.1135,0,0.789434104154916,0.330889264899417,0.360406091370558,0.308704643730024
"Additive only",0.1,5,400,71.0473608274006,50,15,261,74,0,207,28,91,326,0.177618402068502,0.125,0.0375,0.6525,0.185,0,0.153374233128834,0.634969325153374,0.0858895705521472,0.279141104294479
"All simulations",0.1,5,8400,1460.46680779868,1216,268,5106,1783,27,2436,1804,2350,6590,0.17386509616651,0.144761904761905,0.0319047619047619,0.607857142857143,0.212261904761905,0.00321428571428571,0.184522003034901,0.369650986342944,0.273748103186646,0.35660091047041
"Additive only",0.2,5,400,170.723311831853,133,23,177,67,0,275,7,51,333,0.426808279579633,0.3325,0.0575,0.4425,0.1675,0,0.399399399399399,0.825825825825826,0.021021021021021,0.153153153153153
"All simulations",0.2,5,8400,3872.47563730717,3213,431,3280,1476,0,2431,2197,2296,6924,0.461009004441329,0.3825,0.0513095238095238,0.39047619047619,0.175714285714286,0,0.464038128249567,0.351097631426921,0.317302137492779,0.3316002310803
"Additive only",0.3,5,400,247.720614297692,201,18,132,49,0,313,0,38,351,0.61930153574423,0.5025,0.045,0.33,0.1225,0,0.572649572649573,0.891737891737892,0,0.108262108262108
"All simulations",0.3,5,8400,5651.51170269687,4977,298,2186,939,0,2450,2616,2395,7461,0.672799012225818,0.5925,0.0354761904761905,0.260238095238095,0.111785714285714,0,0.667068757539204,0.328374212572041,0.350623240852433,0.321002546575526
"Additive only",0.4,5,400,293.680067031097,252,12,95,41,0,338,0,21,359,0.734200167577743,0.63,0.03,0.2375,0.1025,0,0.701949860724234,0.94150417827298,0,0.0584958217270195
"All simulations",0.4,5,8400,6525.91932764128,5932,194,1481,793,0,2428,2788,2391,7607,0.776895158052534,0.706190476190476,0.0230952380952381,0.176309523809524,0.0944047619047619,0,0.77980807151308,0.319179702905219,0.366504535296438,0.314315761798344
