"chunk","gene"
2,"ACOT6"
2,"ACOT7"
2,"ACOT8"
2,"ACOT9"
2,"ACOX1"
2,"ACOX2"
2,"ACOX3"
2,"ACOXL"
2,"ACP1"
2,"ACP2"
2,"ACP5"
2,"ACP6"
2,"ACP7"
2,"ACR"
2,"ACRBP"
2,"ACRV1"
2,"ACSBG1"
2,"ACSBG2"
2,"ACSF2"
2,"ACSF3"
2,"ACSL1"
2,"ACSL3"
2,"ACSL4"
2,"ACSL5"
2,"ACSL6"
2,"ACSM1"
2,"ACSM2A"
2,"ACSM2B"
2,"ACSM3"
2,"ACSM4"
2,"ACSM5"
2,"ACSM6"
2,"ACSS1"
2,"ACSS2"
2,"ACSS3"
3,"ACTA1"
3,"ACTA2"
3,"ACTB"
3,"ACTBL2"
3,"ACTC1"
3,"ACTG1"
3,"ACTG2"
3,"ACTL10"
3,"ACTL6A"
3,"ACTL6B"
3,"ACTL7A"
3,"ACTL7B"
3,"ACTL8"
3,"ACTL9"
3,"ACTN1"
3,"ACTN2"
3,"ACTN3"
3,"ACTN4"
3,"ACTR10"
3,"ACTR1A"
3,"ACTR1B"
3,"ACTR2"
3,"ACTR3"
3,"ACTR3B"
3,"ACTR3C"
3,"ACTR5"
3,"ACTR6"
3,"ACTR8"
3,"ACTRT1"
3,"ACTRT2"
3,"ACTRT3"
3,"ACVR1"
3,"ACVR1B"
3,"ACVR1C"
3,"ACVR2A"
3,"ACVR2B"
3,"ACVRL1"
3,"ACY1"
3,"ACY3"
3,"ACYP1"
3,"ACYP2"
3,"ADA"
3,"ADAD1"
3,"ADAD2"
3,"ADAL"
3,"ADAM10"
3,"ADAM11"
3,"ADAM12"
3,"ADAM15"
3,"ADAM17"
3,"ADAM18"
3,"ADAM19"
3,"ADAM2"
3,"ADAM20"
3,"ADAM21"
3,"ADAM22"
3,"ADAM23"
3,"ADAM28"
3,"ADAM29"
3,"ADAM30"
3,"ADAM32"
3,"ADAM33"
3,"ADAM7"
3,"ADAM8"
3,"ADAM9"
3,"ADAMDEC1"
3,"ADAMTS1"
3,"ADAMTS10"
3,"ADAMTS12"
3,"ADAMTS13"
3,"ADAMTS14"
3,"ADAMTS15"
3,"ADAMTS16"
3,"ADAMTS17"
3,"ADAMTS18"
3,"ADAMTS19"
3,"ADAMTS2"
3,"ADAMTS20"
3,"ADAMTS3"
3,"ADAMTS4"
3,"ADAMTS5"
3,"ADAMTS6"
3,"ADAMTS7"
3,"ADAMTS8"
3,"ADAMTS9"
3,"ADAMTSL1"
3,"ADAMTSL2"
3,"ADAMTSL3"
3,"ADAMTSL4"
3,"ADAMTSL5"
3,"ADAP1"
3,"ADAP2"
3,"ADAR"
3,"ADARB1"
3,"ADARB2"
3,"ADAT1"
3,"ADAT2"
3,"ADAT3"
3,"ADCK1"
3,"ADCK2"
4,"ADCK5"
4,"ADCY1"
4,"ADCY10"
4,"ADCY2"
4,"ADCY3"
4,"ADCY4"
4,"ADCY5"
4,"ADCY6"
4,"ADCY7"
4,"ADCY8"
4,"ADCY9"
4,"ADCYAP1"
4,"ADCYAP1R1"
4,"ADD1"
4,"ADD2"
4,"ADD3"
4,"ADGB"
4,"ADGRA1"
4,"ADGRA2"
4,"ADGRA3"
4,"ADGRB1"
4,"ADGRB2"
4,"ADGRB3"
4,"ADGRD1"
4,"ADGRD2"
4,"ADGRE1"
4,"ADGRE2"
4,"ADGRE3"
4,"ADGRE5"
4,"ADGRF1"
4,"ADGRF2"
4,"ADGRF3"
4,"ADGRF4"
4,"ADGRF5"
4,"ADGRG1"
4,"ADGRG2"
4,"ADGRG3"
4,"ADGRG4"
4,"ADGRG5"
4,"ADGRG6"
4,"ADGRG7"
4,"ADGRL1"
4,"ADGRL2"
4,"ADGRL3"
4,"ADGRL4"
4,"ADGRV1"
4,"ADH1A"
4,"ADH1B"
4,"ADH1C"
4,"ADH4"
4,"ADH5"
4,"ADH6"
4,"ADH7"
4,"ADHFE1"
4,"ADI1"
4,"ADIG"
4,"ADIPOQ"
4,"ADIPOR1"
4,"ADIPOR2"
4,"ADIRF"
4,"ADK"
4,"ADM"
4,"ADM2"
4,"ADM5"
4,"ADNP"
4,"ADNP2"
4,"ADO"
4,"ADORA1"
4,"ADORA2A"
4,"ADORA2B"
4,"ADORA3"
4,"ADPGK"
4,"ADPRH"
4,"ADPRHL1"
4,"ADPRM"
4,"ADRA1A"
4,"ADRA1B"
4,"ADRA1D"
4,"ADRA2A"
4,"ADRA2B"
4,"ADRA2C"
4,"ADRB1"
4,"ADRB2"
4,"ADRB3"
4,"ADRM1"
4,"ADSL"
4,"ADTRP"
4,"AEBP1"
4,"AEBP2"
4,"AEN"
4,"AFAP1"
4,"AFAP1L1"
4,"AFAP1L2"
4,"AFDN"
4,"AFF1"
4,"AFF2"
4,"AFF3"
4,"AFF4"
4,"AFG3L2"
4,"AFM"
5,"AFMID"
5,"AFP"
5,"AFTPH"
5,"AGA"
5,"AGAP1"
5,"AGAP2"
5,"AGAP3"
5,"AGAP4"
5,"AGAP5"
5,"AGAP6"
5,"AGAP9"
5,"AGBL1"
5,"AGBL2"
5,"AGBL3"
5,"AGBL4"
5,"AGBL5"
5,"AGER"
5,"AGFG1"
5,"AGFG2"
5,"AGGF1"
5,"AGK"
5,"AGL"
5,"AGMAT"
5,"AGMO"
5,"AGO1"
5,"AGO2"
5,"AGO3"
5,"AGO4"
5,"AGPAT1"
5,"AGPAT2"
5,"AGPAT3"
5,"AGPAT4"
5,"AGPAT5"
5,"AGPS"
5,"AGR2"
5,"AGR3"
5,"AGRN"
5,"AGRP"
5,"AGT"
5,"AGTPBP1"
5,"AGTR1"
5,"AGTR2"
5,"AGTRAP"
5,"AGXT"
5,"AGXT2"
5,"AHCTF1"
5,"AHCY"
5,"AHCYL1"
5,"AHCYL2"
5,"AHDC1"
5,"AHI1"
5,"AHNAK"
5,"AHNAK2"
5,"AHR"
5,"AHRR"
5,"AHSA1"
5,"AHSG"
5,"AHSP"
5,"AICDA"
5,"AIDA"
5,"AIF1"
5,"AIF1L"
5,"AIFM1"
5,"AIFM2"
5,"AIFM3"
5,"AIG1"
5,"AIM2"
5,"AIMP1"
5,"AIMP2"
5,"AIP"
5,"AIPL1"
5,"AIRE"
5,"AJAP1"
5,"AJUBA"
5,"AK1"
5,"AK2"
5,"AK3"
5,"AK4"
5,"AK5"
5,"AK6"
5,"AK7"
5,"AK8"
5,"AK9"
5,"AKAIN1"
5,"AKAP1"
5,"AKAP10"
5,"AKAP11"
5,"AKAP12"
5,"AKAP13"
5,"AKAP14"
5,"AKAP17A"
5,"AKAP3"
5,"AKAP4"
5,"AKAP5"
5,"AKAP6"
5,"AKAP7"
5,"AKAP8"
5,"AKAP8L"
5,"AKAP9"
5,"AKIP1"
6,"AKIRIN1"
6,"AKIRIN2"
6,"AKNA"
6,"AKNAD1"
6,"AKR1A1"
6,"AKR1B1"
6,"AKR1B10"
6,"AKR1B15"
6,"AKR1C1"
6,"AKR1C2"
6,"AKR1C3"
6,"AKR1C4"
6,"AKR1C8P"
6,"AKR1D1"
6,"AKR1E2"
6,"AKR7A2"
6,"AKR7A3"
6,"AKT1"
6,"AKT1S1"
6,"AKT2"
6,"AKT3"
6,"AKTIP"
6,"ALAD"
6,"ALAS1"
6,"ALAS2"
6,"ALB"
6,"ALCAM"
6,"ALDH16A1"
6,"ALDH18A1"
6,"ALDH1A1"
6,"ALDH1A2"
6,"ALDH1A3"
6,"ALDH1B1"
6,"ALDH1L1"
6,"ALDH1L2"
6,"ALDH2"
6,"ALDH3A1"
6,"ALDH3A2"
6,"ALDH3B1"
6,"ALDH3B2"
6,"ALDH4A1"
6,"ALDH5A1"
6,"ALDH6A1"
6,"ALDH7A1"
6,"ALDH8A1"
6,"ALDH9A1"
6,"ALDOA"
6,"ALDOB"
6,"ALDOC"
6,"ALG1"
6,"ALG10"
6,"ALG10B"
6,"ALG11"
6,"ALG12"
6,"ALG13"
6,"ALG14"
6,"ALG1L"
6,"ALG1L2"
6,"ALG2"
6,"ALG3"
6,"ALG5"
6,"ALG6"
6,"ALG8"
6,"ALG9"
6,"ALK"
6,"ALKAL1"
6,"ALKAL2"
6,"ALKBH1"
6,"ALKBH2"
6,"ALKBH3"
6,"ALKBH4"
6,"ALKBH5"
6,"ALKBH6"
6,"ALKBH7"
6,"ALKBH8"
6,"ALLC"
6,"ALMS1"
6,"ALOX12"
6,"ALOX12B"
6,"ALOX15"
6,"ALOX15B"
6,"ALOX5"
6,"ALOX5AP"
6,"ALOXE3"
6,"ALPI"
6,"ALPK1"
6,"ALPK2"
6,"ALPK3"
6,"ALPL"
6,"ALPP"
6,"ALS2"
6,"ALS2CL"
6,"ALX1"
6,"ALX3"
6,"ALX4"
6,"ALYREF"
6,"AMACR"
6,"AMBN"
6,"AMBP"
6,"AMBRA1"
7,"AMD1"
7,"AMDHD1"
7,"AMDHD2"
7,"AMELX"
7,"AMELY"
7,"AMER1"
7,"AMER2"
7,"AMER3"
7,"AMFR"
7,"AMH"
7,"AMHR2"
7,"AMIGO1"
7,"AMIGO2"
7,"AMIGO3"
7,"AMMECR1"
7,"AMMECR1L"
7,"AMN"
7,"AMN1"
7,"AMOT"
7,"AMOTL1"
7,"AMOTL2"
7,"AMPD1"
7,"AMPD2"
7,"AMPD3"
7,"AMPH"
7,"AMT"
7,"AMTN"
7,"AMY1A"
7,"AMY1B"
7,"AMY1C"
7,"AMY2A"
7,"AMY2B"
7,"AMZ1"
7,"AMZ2"
7,"ANAPC1"
7,"ANAPC10"
7,"ANAPC11"
7,"ANAPC13"
7,"ANAPC15"
7,"ANAPC16"
7,"ANAPC2"
7,"ANAPC4"
7,"ANAPC5"
7,"ANAPC7"
7,"ANG"
7,"ANGEL1"
7,"ANGEL2"
7,"ANGPT1"
7,"ANGPT2"
7,"ANGPT4"
7,"ANGPTL1"
7,"ANGPTL2"
7,"ANGPTL3"
7,"ANGPTL4"
7,"ANGPTL5"
7,"ANGPTL6"
7,"ANGPTL7"
7,"ANGPTL8"
7,"ANHX"
7,"ANK1"
7,"ANK2"
7,"ANK3"
7,"ANKAR"
7,"ANKDD1A"
7,"ANKDD1B"
7,"ANKEF1"
7,"ANKFN1"
7,"ANKFY1"
7,"ANKH"
7,"ANKHD1"
7,"ANKIB1"
7,"ANKK1"
7,"ANKLE1"
7,"ANKLE2"
7,"ANKMY1"
7,"ANKMY2"
7,"ANKRA2"
7,"ANKRD1"
7,"ANKRD10"
7,"ANKRD11"
7,"ANKRD12"
7,"ANKRD13A"
7,"ANKRD13B"
7,"ANKRD13C"
7,"ANKRD13D"
7,"ANKRD16"
7,"ANKRD17"
7,"ANKRD18A"
7,"ANKRD18B"
7,"ANKRD2"
7,"ANKRD20A1"
7,"ANKRD22"
7,"ANKRD23"
7,"ANKRD24"
7,"ANKRD26"
7,"ANKRD27"
7,"ANKRD28"
7,"ANKRD29"
7,"ANKRD30A"
7,"ANKRD30B"
8,"ANKRD30BL"
8,"ANKRD31"
8,"ANKRD33"
8,"ANKRD33B"
8,"ANKRD34A"
8,"ANKRD34B"
8,"ANKRD34C"
8,"ANKRD35"
8,"ANKRD36"
8,"ANKRD36B"
8,"ANKRD36C"
8,"ANKRD37"
8,"ANKRD39"
8,"ANKRD40"
8,"ANKRD42"
8,"ANKRD44"
8,"ANKRD45"
8,"ANKRD46"
8,"ANKRD49"
8,"ANKRD50"
8,"ANKRD52"
8,"ANKRD53"
8,"ANKRD54"
8,"ANKRD55"
8,"ANKRD6"
8,"ANKRD60"
8,"ANKRD61"
8,"ANKRD62"
8,"ANKRD63"
8,"ANKRD65"
8,"ANKRD66"
8,"ANKRD7"
8,"ANKRD9"
8,"ANKS1A"
8,"ANKS1B"
8,"ANKS3"
8,"ANKS4B"
8,"ANKS6"
8,"ANKUB1"
8,"ANKZF1"
8,"ANLN"
8,"ANO1"
8,"ANO10"
8,"ANO2"
8,"ANO3"
8,"ANO4"
8,"ANO5"
8,"ANO6"
8,"ANO7"
8,"ANO8"
8,"ANO9"
8,"ANOS1"
8,"ANP32A"
8,"ANP32B"
8,"ANP32D"
8,"ANP32E"
8,"ANPEP"
8,"ANTXR1"
8,"ANTXR2"
8,"ANTXRL"
8,"ANXA1"
8,"ANXA10"
8,"ANXA11"
8,"ANXA13"
8,"ANXA2"
8,"ANXA2R"
8,"ANXA3"
8,"ANXA4"
8,"ANXA5"
8,"ANXA6"
8,"ANXA7"
8,"ANXA8"
8,"ANXA8L1"
8,"ANXA9"
8,"AOAH"
8,"AOC1"
8,"AOC2"
8,"AOC3"
8,"AOX1"
8,"AP006621.6"
8,"AP1AR"
8,"AP1B1"
8,"AP1G1"
8,"AP1G2"
8,"AP1M1"
8,"AP1M2"
8,"AP1S1"
8,"AP1S2"
8,"AP1S3"
8,"AP2A1"
8,"AP2A2"
8,"AP2B1"
8,"AP2M1"
8,"AP2S1"
8,"AP3B1"
8,"AP3B2"
8,"AP3D1"
8,"AP3M1"
8,"AP3M2"
8,"AP3S1"
9,"AP3S2"
9,"AP4B1"
9,"AP4E1"
9,"AP4M1"
9,"AP4S1"
9,"AP5B1"
9,"AP5M1"
9,"AP5S1"
9,"AP5Z1"
9,"APAF1"
9,"APBA1"
9,"APBA2"
9,"APBA3"
9,"APBB1"
9,"APBB1IP"
9,"APBB2"
9,"APBB3"
9,"APC"
9,"APC2"
9,"APCDD1"
9,"APCDD1L"
9,"APCS"
9,"APEH"
9,"APELA"
9,"APEX1"
9,"APEX2"
9,"APH1A"
9,"APH1B"
9,"API5"
9,"APIP"
9,"APLF"
9,"APLN"
9,"APLNR"
9,"APLP1"
9,"APLP2"
9,"APMAP"
9,"APOA1"
9,"APOA2"
9,"APOA4"
9,"APOA5"
9,"APOB"
9,"APOBEC1"
9,"APOBEC2"
9,"APOBEC3A"
9,"APOBEC3B"
9,"APOBEC3C"
9,"APOBEC3D"
9,"APOBEC3F"
9,"APOBEC3G"
9,"APOBEC3H"
9,"APOBEC4"
9,"APOBR"
9,"APOC1"
9,"APOC2"
9,"APOC3"
9,"APOC4"
9,"APOD"
9,"APOE"
9,"APOF"
9,"APOH"
9,"APOL1"
9,"APOL2"
9,"APOL3"
9,"APOL4"
9,"APOL5"
9,"APOL6"
9,"APOLD1"
9,"APOM"
9,"APOO"
9,"APOOL"
9,"APP"
9,"APPBP2"
9,"APPL1"
9,"APPL2"
9,"APRT"
9,"APTX"
9,"AQP1"
9,"AQP10"
9,"AQP11"
9,"AQP12A"
9,"AQP12B"
9,"AQP2"
9,"AQP3"
9,"AQP4"
9,"AQP5"
9,"AQP6"
9,"AQP7"
9,"AQP8"
9,"AQP9"
9,"AQR"
9,"AR"
9,"ARAF"
9,"ARAP1"
9,"ARAP2"
9,"ARAP3"
9,"ARC"
9,"ARCN1"
9,"AREG"
9,"AREL1"
9,"ARF1"
10,"ARF3"
10,"ARF4"
10,"ARF5"
10,"ARF6"
10,"ARFGAP1"
10,"ARFGAP2"
10,"ARFGAP3"
10,"ARFGEF1"
10,"ARFGEF2"
10,"ARFGEF3"
10,"ARFIP1"
10,"ARFIP2"
10,"ARFRP1"
10,"ARG1"
10,"ARG2"
10,"ARGFX"
10,"ARGLU1"
10,"ARHGAP1"
10,"ARHGAP10"
10,"ARHGAP11A"
10,"ARHGAP11B"
10,"ARHGAP12"
10,"ARHGAP15"
10,"ARHGAP17"
10,"ARHGAP18"
10,"ARHGAP19"
10,"ARHGAP20"
10,"ARHGAP21"
10,"ARHGAP22"
10,"ARHGAP23"
10,"ARHGAP24"
10,"ARHGAP25"
10,"ARHGAP26"
10,"ARHGAP27"
10,"ARHGAP28"
10,"ARHGAP29"
10,"ARHGAP30"
10,"ARHGAP31"
10,"ARHGAP32"
10,"ARHGAP33"
10,"ARHGAP35"
10,"ARHGAP36"
10,"ARHGAP39"
10,"ARHGAP4"
10,"ARHGAP40"
10,"ARHGAP42"
10,"ARHGAP44"
10,"ARHGAP45"
10,"ARHGAP5"
10,"ARHGAP6"
10,"ARHGAP8"
10,"ARHGAP9"
10,"ARHGDIA"
10,"ARHGDIB"
10,"ARHGDIG"
10,"ARHGEF1"
10,"ARHGEF10"
10,"ARHGEF10L"
10,"ARHGEF11"
10,"ARHGEF12"
10,"ARHGEF15"
10,"ARHGEF16"
10,"ARHGEF17"
10,"ARHGEF18"
10,"ARHGEF19"
10,"ARHGEF2"
10,"ARHGEF25"
10,"ARHGEF26"
10,"ARHGEF28"
10,"ARHGEF3"
10,"ARHGEF33"
10,"ARHGEF35"
10,"ARHGEF37"
10,"ARHGEF38"
10,"ARHGEF39"
10,"ARHGEF4"
10,"ARHGEF40"
10,"ARHGEF5"
10,"ARHGEF6"
10,"ARHGEF7"
10,"ARHGEF9"
10,"ARID1A"
10,"ARID1B"
10,"ARID2"
10,"ARID3A"
10,"ARID3B"
10,"ARID3C"
10,"ARID4A"
10,"ARID4B"
10,"ARID5A"
10,"ARID5B"
10,"ARIH1"
10,"ARIH2"
10,"ARL1"
10,"ARL10"
10,"ARL11"
10,"ARL13A"
10,"ARL13B"
10,"ARL14"
10,"ARL14EP"
11,"ARL14EPL"
11,"ARL15"
11,"ARL16"
11,"ARL17A"
11,"ARL17B"
11,"ARL2"
11,"ARL2BP"
11,"ARL3"
11,"ARL4A"
11,"ARL4C"
11,"ARL4D"
11,"ARL5A"
11,"ARL5B"
11,"ARL5C"
11,"ARL6"
11,"ARL6IP1"
11,"ARL6IP4"
11,"ARL6IP5"
11,"ARL6IP6"
11,"ARL8A"
11,"ARL8B"
11,"ARL9"
11,"ARMC1"
11,"ARMC10"
11,"ARMC12"
11,"ARMC2"
11,"ARMC3"
11,"ARMC4"
11,"ARMC5"
11,"ARMC6"
11,"ARMC7"
11,"ARMC8"
11,"ARMC9"
11,"ARMCX1"
11,"ARMCX2"
11,"ARMCX3"
11,"ARMCX4"
11,"ARMCX5"
11,"ARMCX5-GPRASP2"
11,"ARMCX6"
11,"ARMS2"
11,"ARMT1"
11,"ARNT"
11,"ARNT2"
11,"ARNTL"
11,"ARNTL2"
11,"ARPC1A"
11,"ARPC1B"
11,"ARPC2"
11,"ARPC3"
11,"ARPC4"
11,"ARPC5"
11,"ARPC5L"
11,"ARPIN"
11,"ARPP19"
11,"ARPP21"
11,"ARR3"
11,"ARRB1"
11,"ARRB2"
11,"ARRDC1"
11,"ARRDC2"
11,"ARRDC3"
11,"ARRDC4"
11,"ARRDC5"
11,"ARSA"
11,"ARSB"
11,"ARSD"
11,"ARSF"
11,"ARSG"
11,"ARSH"
11,"ARSI"
11,"ARSJ"
11,"ARSK"
11,"ART1"
11,"ART3"
11,"ART4"
11,"ART5"
11,"ARTN"
11,"ARV1"
11,"ARVCF"
11,"ARX"
11,"AS3MT"
11,"ASAH1"
11,"ASAH2"
11,"ASAH2B"
11,"ASAP1"
11,"ASAP2"
11,"ASAP3"
11,"ASB1"
11,"ASB10"
11,"ASB11"
11,"ASB12"
11,"ASB13"
11,"ASB14"
11,"ASB15"
11,"ASB16"
11,"ASB17"
11,"ASB18"
11,"ASB2"
11,"ASB3"
12,"ASB4"
12,"ASB5"
12,"ASB6"
12,"ASB7"
12,"ASB8"
12,"ASB9"
12,"ASCC1"
12,"ASCC2"
12,"ASCC3"
12,"ASCL1"
12,"ASCL2"
12,"ASCL3"
12,"ASCL4"
12,"ASCL5"
12,"ASF1A"
12,"ASF1B"
12,"ASGR1"
12,"ASGR2"
12,"ASH1L"
12,"ASH2L"
12,"ASIC1"
12,"ASIC2"
12,"ASIC3"
12,"ASIC4"
12,"ASIC5"
12,"ASIP"
12,"ASL"
12,"ASMT"
12,"ASMTL"
12,"ASNS"
12,"ASNSD1"
12,"ASPA"
12,"ASPDH"
12,"ASPG"
12,"ASPH"
12,"ASPHD1"
12,"ASPHD2"
12,"ASPM"
12,"ASPN"
12,"ASPRV1"
12,"ASPSCR1"
12,"ASRGL1"
12,"ASS1"
12,"ASTE1"
12,"ASTL"
12,"ASTN1"
12,"ASTN2"
12,"ASXL1"
12,"ASXL2"
12,"ASXL3"
12,"ASZ1"
12,"ATAD1"
12,"ATAD2"
12,"ATAD2B"
12,"ATAD3A"
12,"ATAD3B"
12,"ATAD3C"
12,"ATAD5"
12,"ATAT1"
12,"ATCAY"
12,"ATE1"
12,"ATF1"
12,"ATF2"
12,"ATF3"
12,"ATF4"
12,"ATF5"
12,"ATF6"
12,"ATF6B"
12,"ATF7"
12,"ATF7IP"
12,"ATF7IP2"
12,"ATG10"
12,"ATG101"
12,"ATG12"
12,"ATG13"
12,"ATG14"
12,"ATG16L1"
12,"ATG16L2"
12,"ATG2A"
12,"ATG2B"
12,"ATG3"
12,"ATG4A"
12,"ATG4B"
12,"ATG4C"
12,"ATG4D"
12,"ATG5"
12,"ATG7"
12,"ATG9A"
12,"ATG9B"
12,"ATIC"
12,"ATL1"
12,"ATL2"
12,"ATL3"
12,"ATM"
12,"ATMIN"
12,"ATN1"
12,"ATOH1"
12,"ATOH7"
12,"ATOH8"
12,"ATOX1"
13,"ATP10A"
13,"ATP10B"
13,"ATP10D"
13,"ATP11A"
13,"ATP11B"
13,"ATP11C"
13,"ATP12A"
13,"ATP13A1"
13,"ATP13A2"
13,"ATP13A3"
13,"ATP13A4"
13,"ATP13A5"
13,"ATP1A1"
13,"ATP1A2"
13,"ATP1A3"
13,"ATP1A4"
13,"ATP1B1"
13,"ATP1B2"
13,"ATP1B3"
13,"ATP1B4"
13,"ATP23"
13,"ATP2A1"
13,"ATP2A2"
13,"ATP2A3"
13,"ATP2B1"
13,"ATP2B2"
13,"ATP2B3"
13,"ATP2B4"
13,"ATP2C1"
13,"ATP2C2"
13,"ATP4A"
13,"ATP4B"
13,"ATP6AP1"
13,"ATP6AP2"
13,"ATP6V0A1"
13,"ATP6V0A2"
13,"ATP6V0A4"
13,"ATP6V0B"
13,"ATP6V0C"
13,"ATP6V0D1"
13,"ATP6V0D2"
13,"ATP6V0E1"
13,"ATP6V0E2"
13,"ATP6V1A"
13,"ATP6V1B1"
13,"ATP6V1B2"
13,"ATP6V1C1"
13,"ATP6V1C2"
13,"ATP6V1D"
13,"ATP6V1E1"
13,"ATP6V1E2"
13,"ATP6V1F"
13,"ATP6V1G1"
13,"ATP6V1G2"
13,"ATP6V1G3"
13,"ATP6V1H"
13,"ATP7A"
13,"ATP7B"
13,"ATP8A1"
13,"ATP8A2"
13,"ATP8B1"
13,"ATP8B2"
13,"ATP8B3"
13,"ATP8B4"
13,"ATP9A"
13,"ATP9B"
13,"ATPAF1"
13,"ATPAF2"
13,"ATR"
13,"ATRAID"
13,"ATRIP"
13,"ATRN"
13,"ATRNL1"
13,"ATRX"
13,"ATXN1"
13,"ATXN10"
13,"ATXN1L"
13,"ATXN2"
13,"ATXN2L"
13,"ATXN3"
13,"ATXN3L"
13,"ATXN7"
13,"ATXN7L1"
13,"ATXN7L2"
13,"ATXN7L3"
13,"ATXN7L3B"
13,"AUH"
13,"AUNIP"
13,"AUP1"
13,"AURKA"
13,"AURKAIP1"
13,"AURKB"
13,"AURKC"
13,"AUTS2"
13,"AVEN"
13,"AVIL"
13,"AVL9"
13,"AVP"
13,"AVPI1"
13,"AVPR1A"
14,"AVPR1B"
14,"AVPR2"
14,"AWAT1"
14,"AWAT2"
14,"AXDND1"
14,"AXIN1"
14,"AXIN2"
14,"AXL"
14,"AZGP1"
14,"AZI2"
14,"AZIN1"
14,"AZIN2"
14,"AZU1"
14,"B2M"
14,"B3GALNT1"
14,"B3GALNT2"
14,"B3GALT1"
14,"B3GALT2"
14,"B3GALT4"
14,"B3GALT5"
14,"B3GALT6"
14,"B3GAT1"
14,"B3GAT2"
14,"B3GAT3"
14,"B3GLCT"
14,"B3GNT2"
14,"B3GNT3"
14,"B3GNT4"
14,"B3GNT5"
14,"B3GNT6"
14,"B3GNT7"
14,"B3GNT8"
14,"B3GNT9"
14,"B3GNTL1"
14,"B4GALNT1"
14,"B4GALNT2"
14,"B4GALNT3"
14,"B4GALNT4"
14,"B4GALT1"
14,"B4GALT2"
14,"B4GALT3"
14,"B4GALT4"
14,"B4GALT5"
14,"B4GALT6"
14,"B4GALT7"
14,"B4GAT1"
14,"B9D1"
14,"B9D2"
14,"BAALC"
14,"BAAT"
14,"BABAM1"
14,"BACE1"
14,"BACE2"
14,"BACH1"
14,"BACH2"
14,"BAD"
14,"BAG1"
14,"BAG2"
14,"BAG3"
14,"BAG4"
14,"BAG5"
14,"BAG6"
14,"BAHCC1"
14,"BAHD1"
14,"BAIAP2"
14,"BAIAP2L1"
14,"BAIAP2L2"
