"scenario","pve","K","method","configuration","n_replicates"
"Recessive + dominant",0.2,3,"SuSiE","add0_rec2_dom1",400
"Recessive + dominant",0.3,3,"SuSiE","add0_rec2_dom1",400
"Recessive + dominant",0.4,3,"SuSiE","add0_rec2_dom1",400
"Recessive + dominant",0.1,3,"SuSiE-mix","add0_rec2_dom1",400
"Recessive + dominant",0.2,3,"SuSiE-mix","add0_rec2_dom1",400
"Recessive + dominant",0.3,3,"SuSiE-mix","add0_rec2_dom1",400
"Recessive + dominant",0.4,3,"SuSiE-mix","add0_rec2_dom1",400
"Recessive + dominant",0.1,4,"SuSiE","add0_rec2_dom2",400
"Recessive + dominant",0.2,4,"SuSiE","add0_rec2_dom2",400
"Recessive + dominant",0.3,4,"SuSiE","add0_rec2_dom2",400
"Recessive + dominant",0.4,4,"SuSiE","add0_rec2_dom2",400
"Recessive + dominant",0.1,4,"SuSiE-mix","add0_rec2_dom2",400
"Recessive + dominant",0.2,4,"SuSiE-mix","add0_rec2_dom2",400
"Recessive + dominant",0.3,4,"SuSiE-mix","add0_rec2_dom2",400
"Recessive + dominant",0.4,4,"SuSiE-mix","add0_rec2_dom2",400
"Recessive + dominant",0.1,5,"SuSiE","add0_rec2_dom3",400
"Recessive + dominant",0.2,5,"SuSiE","add0_rec2_dom3",400
"Recessive + dominant",0.3,5,"SuSiE","add0_rec2_dom3",400
"Recessive + dominant",0.4,5,"SuSiE","add0_rec2_dom3",400
"Recessive + dominant",0.1,5,"SuSiE-mix","add0_rec2_dom3",400
"Recessive + dominant",0.2,5,"SuSiE-mix","add0_rec2_dom3",400
"Recessive + dominant",0.3,5,"SuSiE-mix","add0_rec2_dom3",400
"Recessive + dominant",0.4,5,"SuSiE-mix","add0_rec2_dom3",400
"Recessive only",0.1,3,"SuSiE","add0_rec3_dom0",400
"Recessive only",0.2,3,"SuSiE","add0_rec3_dom0",400
"Recessive only",0.3,3,"SuSiE","add0_rec3_dom0",400
"Recessive only",0.4,3,"SuSiE","add0_rec3_dom0",400
"Recessive only",0.1,3,"SuSiE-mix","add0_rec3_dom0",400
"Recessive only",0.2,3,"SuSiE-mix","add0_rec3_dom0",400
"Recessive only",0.3,3,"SuSiE-mix","add0_rec3_dom0",400
"Recessive only",0.4,3,"SuSiE-mix","add0_rec3_dom0",400
"Recessive + dominant",0.1,4,"SuSiE","add0_rec3_dom1",400
"Recessive + dominant",0.2,4,"SuSiE","add0_rec3_dom1",400
"Recessive + dominant",0.3,4,"SuSiE","add0_rec3_dom1",400
"Recessive + dominant",0.4,4,"SuSiE","add0_rec3_dom1",400
"Recessive + dominant",0.1,4,"SuSiE-mix","add0_rec3_dom1",400
"Recessive + dominant",0.2,4,"SuSiE-mix","add0_rec3_dom1",400
"Recessive + dominant",0.3,4,"SuSiE-mix","add0_rec3_dom1",400
"Recessive + dominant",0.4,4,"SuSiE-mix","add0_rec3_dom1",400
"Recessive + dominant",0.1,5,"SuSiE","add0_rec3_dom2",400
"Recessive + dominant",0.2,5,"SuSiE","add0_rec3_dom2",400
"Recessive + dominant",0.3,5,"SuSiE","add0_rec3_dom2",400
"Recessive + dominant",0.4,5,"SuSiE","add0_rec3_dom2",400
"Recessive + dominant",0.1,5,"SuSiE-mix","add0_rec3_dom2",400
"Recessive + dominant",0.2,5,"SuSiE-mix","add0_rec3_dom2",400
"Recessive + dominant",0.3,5,"SuSiE-mix","add0_rec3_dom2",400
"Recessive + dominant",0.4,5,"SuSiE-mix","add0_rec3_dom2",400
"Recessive only",0.1,4,"SuSiE","add0_rec4_dom0",400
"Recessive only",0.2,4,"SuSiE","add0_rec4_dom0",400
"Recessive only",0.3,4,"SuSiE","add0_rec4_dom0",400
"Recessive only",0.4,4,"SuSiE","add0_rec4_dom0",400
"Recessive only",0.1,4,"SuSiE-mix","add0_rec4_dom0",400
"Recessive only",0.2,4,"SuSiE-mix","add0_rec4_dom0",400
"Recessive only",0.3,4,"SuSiE-mix","add0_rec4_dom0",400
"Recessive only",0.4,4,"SuSiE-mix","add0_rec4_dom0",400
"Recessive + dominant",0.1,5,"SuSiE","add0_rec4_dom1",400
"Recessive + dominant",0.2,5,"SuSiE","add0_rec4_dom1",400
"Recessive + dominant",0.3,5,"SuSiE","add0_rec4_dom1",400
"Recessive + dominant",0.4,5,"SuSiE","add0_rec4_dom1",400
"Recessive + dominant",0.1,5,"SuSiE-mix","add0_rec4_dom1",400
"Recessive + dominant",0.2,5,"SuSiE-mix","add0_rec4_dom1",400
"Recessive + dominant",0.3,5,"SuSiE-mix","add0_rec4_dom1",400
"Recessive + dominant",0.4,5,"SuSiE-mix","add0_rec4_dom1",400
"Recessive only",0.1,5,"SuSiE","add0_rec5_dom0",400
"Recessive only",0.2,5,"SuSiE","add0_rec5_dom0",400
"Recessive only",0.3,5,"SuSiE","add0_rec5_dom0",400
"Recessive only",0.4,5,"SuSiE","add0_rec5_dom0",400
"Recessive only",0.1,5,"SuSiE-mix","add0_rec5_dom0",400
"Recessive only",0.2,5,"SuSiE-mix","add0_rec5_dom0",400
"Recessive only",0.3,5,"SuSiE-mix","add0_rec5_dom0",400
"Recessive only",0.4,5,"SuSiE-mix","add0_rec5_dom0",400
"Additive only",0.1,1,"SuSiE","add1_rec0_dom0",400
"Additive only",0.2,1,"SuSiE","add1_rec0_dom0",400
"Additive only",0.3,1,"SuSiE","add1_rec0_dom0",400
"Additive only",0.4,1,"SuSiE","add1_rec0_dom0",400
"Additive only",0.1,1,"SuSiE-mix","add1_rec0_dom0",400
"Additive only",0.2,1,"SuSiE-mix","add1_rec0_dom0",400
"Additive only",0.3,1,"SuSiE-mix","add1_rec0_dom0",400
"Additive only",0.4,1,"SuSiE-mix","add1_rec0_dom0",400
"Additive + dominant",0.1,2,"SuSiE","add1_rec0_dom1",399
"Additive + dominant",0.2,2,"SuSiE","add1_rec0_dom1",399
"Additive + dominant",0.3,2,"SuSiE","add1_rec0_dom1",399
"Additive + dominant",0.4,2,"SuSiE","add1_rec0_dom1",399
"Additive + dominant",0.1,2,"SuSiE-mix","add1_rec0_dom1",399
"Additive + dominant",0.2,2,"SuSiE-mix","add1_rec0_dom1",399
"Additive + dominant",0.3,2,"SuSiE-mix","add1_rec0_dom1",399
"Additive + dominant",0.4,2,"SuSiE-mix","add1_rec0_dom1",399
"Additive + dominant",0.1,3,"SuSiE","add1_rec0_dom2",400
"Additive + dominant",0.2,3,"SuSiE","add1_rec0_dom2",400
"Additive + dominant",0.3,3,"SuSiE","add1_rec0_dom2",400
"Additive + dominant",0.4,3,"SuSiE","add1_rec0_dom2",400
"Additive + dominant",0.1,3,"SuSiE-mix","add1_rec0_dom2",400
"Additive + dominant",0.2,3,"SuSiE-mix","add1_rec0_dom2",400
"Additive + dominant",0.3,3,"SuSiE-mix","add1_rec0_dom2",400
"Additive + dominant",0.4,3,"SuSiE-mix","add1_rec0_dom2",400
"Additive + dominant",0.1,4,"SuSiE","add1_rec0_dom3",400
"Additive + dominant",0.2,4,"SuSiE","add1_rec0_dom3",400
"Additive + dominant",0.3,4,"SuSiE","add1_rec0_dom3",400
"Additive + dominant",0.4,4,"SuSiE","add1_rec0_dom3",400
"Additive + dominant",0.1,4,"SuSiE-mix","add1_rec0_dom3",400
"Additive + dominant",0.2,4,"SuSiE-mix","add1_rec0_dom3",400
"Additive + dominant",0.3,4,"SuSiE-mix","add1_rec0_dom3",400
"Additive + dominant",0.4,4,"SuSiE-mix","add1_rec0_dom3",400
"Additive + dominant",0.1,5,"SuSiE","add1_rec0_dom4",400
"Additive + dominant",0.2,5,"SuSiE","add1_rec0_dom4",400
"Additive + dominant",0.3,5,"SuSiE","add1_rec0_dom4",400
"Additive + dominant",0.4,5,"SuSiE","add1_rec0_dom4",400
"Additive + dominant",0.1,5,"SuSiE-mix","add1_rec0_dom4",400
"Additive + dominant",0.2,5,"SuSiE-mix","add1_rec0_dom4",400
"Additive + dominant",0.3,5,"SuSiE-mix","add1_rec0_dom4",400
"Additive + dominant",0.4,5,"SuSiE-mix","add1_rec0_dom4",400
"Additive + recessive",0.1,2,"SuSiE","add1_rec1_dom0",400
"Additive + recessive",0.2,2,"SuSiE","add1_rec1_dom0",400
"Additive + recessive",0.3,2,"SuSiE","add1_rec1_dom0",400
"Additive + recessive",0.4,2,"SuSiE","add1_rec1_dom0",400
"Additive + recessive",0.1,2,"SuSiE-mix","add1_rec1_dom0",400
"Additive + recessive",0.2,2,"SuSiE-mix","add1_rec1_dom0",400
"Additive + recessive",0.3,2,"SuSiE-mix","add1_rec1_dom0",400
"Additive + recessive",0.4,2,"SuSiE-mix","add1_rec1_dom0",400
"Additive + recessive + dominant",0.1,3,"SuSiE","add1_rec1_dom1",400
"Additive + recessive + dominant",0.2,3,"SuSiE","add1_rec1_dom1",400
"Additive + recessive + dominant",0.3,3,"SuSiE","add1_rec1_dom1",400
"Additive + recessive + dominant",0.4,3,"SuSiE","add1_rec1_dom1",400
"Additive + recessive + dominant",0.1,3,"SuSiE-mix","add1_rec1_dom1",400
"Additive + recessive + dominant",0.2,3,"SuSiE-mix","add1_rec1_dom1",400
"Additive + recessive + dominant",0.3,3,"SuSiE-mix","add1_rec1_dom1",400
"Additive + recessive + dominant",0.4,3,"SuSiE-mix","add1_rec1_dom1",400
"Additive + recessive + dominant",0.1,4,"SuSiE","add1_rec1_dom2",400
"Additive + recessive + dominant",0.2,4,"SuSiE","add1_rec1_dom2",400
"Additive + recessive + dominant",0.3,4,"SuSiE","add1_rec1_dom2",400
"Additive + recessive + dominant",0.4,4,"SuSiE","add1_rec1_dom2",400
"Additive + recessive + dominant",0.1,4,"SuSiE-mix","add1_rec1_dom2",400
"Additive + recessive + dominant",0.2,4,"SuSiE-mix","add1_rec1_dom2",400
"Additive + recessive + dominant",0.3,4,"SuSiE-mix","add1_rec1_dom2",400
"Additive + recessive + dominant",0.4,4,"SuSiE-mix","add1_rec1_dom2",400
"Additive + recessive + dominant",0.1,5,"SuSiE","add1_rec1_dom3",400
"Additive + recessive + dominant",0.2,5,"SuSiE","add1_rec1_dom3",400
"Additive + recessive + dominant",0.3,5,"SuSiE","add1_rec1_dom3",400
"Additive + recessive + dominant",0.4,5,"SuSiE","add1_rec1_dom3",400
"Additive + recessive + dominant",0.1,5,"SuSiE-mix","add1_rec1_dom3",400
"Additive + recessive + dominant",0.2,5,"SuSiE-mix","add1_rec1_dom3",400
"Additive + recessive + dominant",0.3,5,"SuSiE-mix","add1_rec1_dom3",400
"Additive + recessive + dominant",0.4,5,"SuSiE-mix","add1_rec1_dom3",400
"Additive + recessive",0.1,3,"SuSiE","add1_rec2_dom0",400
"Additive + recessive",0.2,3,"SuSiE","add1_rec2_dom0",400
"Additive + recessive",0.3,3,"SuSiE","add1_rec2_dom0",400
"Additive + recessive",0.4,3,"SuSiE","add1_rec2_dom0",400
"Additive + recessive",0.1,3,"SuSiE-mix","add1_rec2_dom0",400
"Additive + recessive",0.2,3,"SuSiE-mix","add1_rec2_dom0",400
"Additive + recessive",0.3,3,"SuSiE-mix","add1_rec2_dom0",400
"Additive + recessive",0.4,3,"SuSiE-mix","add1_rec2_dom0",400
"Additive + recessive + dominant",0.1,4,"SuSiE","add1_rec2_dom1",400
"Additive + recessive + dominant",0.2,4,"SuSiE","add1_rec2_dom1",400
"Additive + recessive + dominant",0.3,4,"SuSiE","add1_rec2_dom1",400
"Additive + recessive + dominant",0.4,4,"SuSiE","add1_rec2_dom1",400
"Additive + recessive + dominant",0.1,4,"SuSiE-mix","add1_rec2_dom1",400
"Additive + recessive + dominant",0.2,4,"SuSiE-mix","add1_rec2_dom1",400
"Additive + recessive + dominant",0.3,4,"SuSiE-mix","add1_rec2_dom1",400
"Additive + recessive + dominant",0.4,4,"SuSiE-mix","add1_rec2_dom1",400
"Additive + recessive + dominant",0.1,5,"SuSiE","add1_rec2_dom2",400
"Additive + recessive + dominant",0.2,5,"SuSiE","add1_rec2_dom2",400
"Additive + recessive + dominant",0.3,5,"SuSiE","add1_rec2_dom2",400
"Additive + recessive + dominant",0.4,5,"SuSiE","add1_rec2_dom2",400
"Additive + recessive + dominant",0.1,5,"SuSiE-mix","add1_rec2_dom2",400
"Additive + recessive + dominant",0.2,5,"SuSiE-mix","add1_rec2_dom2",400
"Additive + recessive + dominant",0.3,5,"SuSiE-mix","add1_rec2_dom2",400
"Additive + recessive + dominant",0.4,5,"SuSiE-mix","add1_rec2_dom2",400
"Additive + recessive",0.1,4,"SuSiE","add1_rec3_dom0",400
"Additive + recessive",0.2,4,"SuSiE","add1_rec3_dom0",400
"Additive + recessive",0.3,4,"SuSiE","add1_rec3_dom0",400
"Additive + recessive",0.4,4,"SuSiE","add1_rec3_dom0",400
"Additive + recessive",0.1,4,"SuSiE-mix","add1_rec3_dom0",400
"Additive + recessive",0.2,4,"SuSiE-mix","add1_rec3_dom0",400
"Additive + recessive",0.3,4,"SuSiE-mix","add1_rec3_dom0",400
"Additive + recessive",0.4,4,"SuSiE-mix","add1_rec3_dom0",400
"Additive + recessive + dominant",0.1,5,"SuSiE","add1_rec3_dom1",400
"Additive + recessive + dominant",0.2,5,"SuSiE","add1_rec3_dom1",400
"Additive + recessive + dominant",0.3,5,"SuSiE","add1_rec3_dom1",400
"Additive + recessive + dominant",0.4,5,"SuSiE","add1_rec3_dom1",400
"Additive + recessive + dominant",0.1,5,"SuSiE-mix","add1_rec3_dom1",400
"Additive + recessive + dominant",0.2,5,"SuSiE-mix","add1_rec3_dom1",400
"Additive + recessive + dominant",0.3,5,"SuSiE-mix","add1_rec3_dom1",400
"Additive + recessive + dominant",0.4,5,"SuSiE-mix","add1_rec3_dom1",400
"Additive + recessive",0.1,5,"SuSiE","add1_rec4_dom0",400
"Additive + recessive",0.2,5,"SuSiE","add1_rec4_dom0",400
"Additive + recessive",0.3,5,"SuSiE","add1_rec4_dom0",400
"Additive + recessive",0.4,5,"SuSiE","add1_rec4_dom0",400
"Additive + recessive",0.1,5,"SuSiE-mix","add1_rec4_dom0",400
"Additive + recessive",0.2,5,"SuSiE-mix","add1_rec4_dom0",400
"Additive + recessive",0.3,5,"SuSiE-mix","add1_rec4_dom0",400
"Additive + recessive",0.4,5,"SuSiE-mix","add1_rec4_dom0",400
"Additive only",0.1,2,"SuSiE","add2_rec0_dom0",399
"Additive only",0.2,2,"SuSiE","add2_rec0_dom0",399
"Additive only",0.3,2,"SuSiE","add2_rec0_dom0",399
"Additive only",0.4,2,"SuSiE","add2_rec0_dom0",399
"Additive only",0.1,2,"SuSiE-mix","add2_rec0_dom0",399
"Additive only",0.2,2,"SuSiE-mix","add2_rec0_dom0",399
"Additive only",0.3,2,"SuSiE-mix","add2_rec0_dom0",399
"Additive only",0.4,2,"SuSiE-mix","add2_rec0_dom0",399
"Additive + dominant",0.1,3,"SuSiE","add2_rec0_dom1",400
"Additive + dominant",0.2,3,"SuSiE","add2_rec0_dom1",400
"Additive + dominant",0.3,3,"SuSiE","add2_rec0_dom1",400
"Additive + dominant",0.4,3,"SuSiE","add2_rec0_dom1",400
"Additive + dominant",0.1,3,"SuSiE-mix","add2_rec0_dom1",400
"Additive + dominant",0.2,3,"SuSiE-mix","add2_rec0_dom1",400
"Additive + dominant",0.3,3,"SuSiE-mix","add2_rec0_dom1",400
"Additive + dominant",0.4,3,"SuSiE-mix","add2_rec0_dom1",400
"Additive + dominant",0.1,4,"SuSiE","add2_rec0_dom2",400
"Additive + dominant",0.2,4,"SuSiE","add2_rec0_dom2",400
"Additive + dominant",0.3,4,"SuSiE","add2_rec0_dom2",400
"Additive + dominant",0.4,4,"SuSiE","add2_rec0_dom2",400
"Additive + dominant",0.1,4,"SuSiE-mix","add2_rec0_dom2",400
"Additive + dominant",0.2,4,"SuSiE-mix","add2_rec0_dom2",400
"Additive + dominant",0.3,4,"SuSiE-mix","add2_rec0_dom2",400
"Additive + dominant",0.4,4,"SuSiE-mix","add2_rec0_dom2",400
"Additive + dominant",0.1,5,"SuSiE","add2_rec0_dom3",400
"Additive + dominant",0.2,5,"SuSiE","add2_rec0_dom3",400
"Additive + dominant",0.3,5,"SuSiE","add2_rec0_dom3",400
"Additive + dominant",0.4,5,"SuSiE","add2_rec0_dom3",400
"Additive + dominant",0.1,5,"SuSiE-mix","add2_rec0_dom3",400
"Additive + dominant",0.2,5,"SuSiE-mix","add2_rec0_dom3",400
"Additive + dominant",0.3,5,"SuSiE-mix","add2_rec0_dom3",400
"Additive + dominant",0.4,5,"SuSiE-mix","add2_rec0_dom3",400
"Additive + recessive",0.1,3,"SuSiE","add2_rec1_dom0",400
"Additive + recessive",0.2,3,"SuSiE","add2_rec1_dom0",400
"Additive + recessive",0.3,3,"SuSiE","add2_rec1_dom0",400
"Additive + recessive",0.4,3,"SuSiE","add2_rec1_dom0",400
"Additive + recessive",0.1,3,"SuSiE-mix","add2_rec1_dom0",400
"Additive + recessive",0.2,3,"SuSiE-mix","add2_rec1_dom0",400
"Additive + recessive",0.3,3,"SuSiE-mix","add2_rec1_dom0",400
"Additive + recessive",0.4,3,"SuSiE-mix","add2_rec1_dom0",400
"Additive + recessive + dominant",0.1,4,"SuSiE","add2_rec1_dom1",400
"Additive + recessive + dominant",0.2,4,"SuSiE","add2_rec1_dom1",400
"Additive + recessive + dominant",0.3,4,"SuSiE","add2_rec1_dom1",400
"Additive + recessive + dominant",0.4,4,"SuSiE","add2_rec1_dom1",400
"Additive + recessive + dominant",0.1,4,"SuSiE-mix","add2_rec1_dom1",400
"Additive + recessive + dominant",0.2,4,"SuSiE-mix","add2_rec1_dom1",400
"Additive + recessive + dominant",0.3,4,"SuSiE-mix","add2_rec1_dom1",400
"Additive + recessive + dominant",0.4,4,"SuSiE-mix","add2_rec1_dom1",400
"Additive + recessive + dominant",0.1,5,"SuSiE","add2_rec1_dom2",400
"Additive + recessive + dominant",0.2,5,"SuSiE","add2_rec1_dom2",400
"Additive + recessive + dominant",0.3,5,"SuSiE","add2_rec1_dom2",400
"Additive + recessive + dominant",0.4,5,"SuSiE","add2_rec1_dom2",400
"Additive + recessive + dominant",0.1,5,"SuSiE-mix","add2_rec1_dom2",400
"Additive + recessive + dominant",0.2,5,"SuSiE-mix","add2_rec1_dom2",400
"Additive + recessive + dominant",0.3,5,"SuSiE-mix","add2_rec1_dom2",400
"Additive + recessive + dominant",0.4,5,"SuSiE-mix","add2_rec1_dom2",400
"Additive + recessive",0.1,4,"SuSiE","add2_rec2_dom0",400
"Additive + recessive",0.2,4,"SuSiE","add2_rec2_dom0",400
"Additive + recessive",0.3,4,"SuSiE","add2_rec2_dom0",400
"Additive + recessive",0.4,4,"SuSiE","add2_rec2_dom0",400
"Additive + recessive",0.1,4,"SuSiE-mix","add2_rec2_dom0",400
"Additive + recessive",0.2,4,"SuSiE-mix","add2_rec2_dom0",400
"Additive + recessive",0.3,4,"SuSiE-mix","add2_rec2_dom0",400
"Additive + recessive",0.4,4,"SuSiE-mix","add2_rec2_dom0",400
"Additive + recessive + dominant",0.1,5,"SuSiE","add2_rec2_dom1",400
"Additive + recessive + dominant",0.2,5,"SuSiE","add2_rec2_dom1",400
"Additive + recessive + dominant",0.3,5,"SuSiE","add2_rec2_dom1",400
"Additive + recessive + dominant",0.4,5,"SuSiE","add2_rec2_dom1",400
"Additive + recessive + dominant",0.1,5,"SuSiE-mix","add2_rec2_dom1",400
"Additive + recessive + dominant",0.2,5,"SuSiE-mix","add2_rec2_dom1",400
"Additive + recessive + dominant",0.3,5,"SuSiE-mix","add2_rec2_dom1",400
"Additive + recessive + dominant",0.4,5,"SuSiE-mix","add2_rec2_dom1",400
"Additive + recessive",0.1,5,"SuSiE","add2_rec3_dom0",400
"Additive + recessive",0.2,5,"SuSiE","add2_rec3_dom0",400
"Additive + recessive",0.3,5,"SuSiE","add2_rec3_dom0",400
"Additive + recessive",0.4,5,"SuSiE","add2_rec3_dom0",400
"Additive + recessive",0.1,5,"SuSiE-mix","add2_rec3_dom0",400
"Additive + recessive",0.2,5,"SuSiE-mix","add2_rec3_dom0",400
"Additive + recessive",0.3,5,"SuSiE-mix","add2_rec3_dom0",400
"Additive + recessive",0.4,5,"SuSiE-mix","add2_rec3_dom0",400
"Additive only",0.1,3,"SuSiE","add3_rec0_dom0",400
"Additive only",0.2,3,"SuSiE","add3_rec0_dom0",400
"Additive only",0.3,3,"SuSiE","add3_rec0_dom0",400
"Additive only",0.4,3,"SuSiE","add3_rec0_dom0",400
"Additive only",0.1,3,"SuSiE-mix","add3_rec0_dom0",400
"Additive only",0.2,3,"SuSiE-mix","add3_rec0_dom0",400
"Additive only",0.3,3,"SuSiE-mix","add3_rec0_dom0",400
"Additive only",0.4,3,"SuSiE-mix","add3_rec0_dom0",400
"Additive + dominant",0.1,4,"SuSiE","add3_rec0_dom1",400
"Additive + dominant",0.2,4,"SuSiE","add3_rec0_dom1",400
"Additive + dominant",0.3,4,"SuSiE","add3_rec0_dom1",400
"Additive + dominant",0.4,4,"SuSiE","add3_rec0_dom1",400
"Additive + dominant",0.1,4,"SuSiE-mix","add3_rec0_dom1",400
"Additive + dominant",0.2,4,"SuSiE-mix","add3_rec0_dom1",400
"Additive + dominant",0.3,4,"SuSiE-mix","add3_rec0_dom1",400
"Additive + dominant",0.4,4,"SuSiE-mix","add3_rec0_dom1",400
"Additive + dominant",0.1,5,"SuSiE","add3_rec0_dom2",400
"Additive + dominant",0.2,5,"SuSiE","add3_rec0_dom2",400
