tissue,coding_pattern,count,total_gene_tissue_pairs,percentage
Ovary,ADR,0,137,0
Pancreas,none,0,333,0
Pancreas,A,313,333,93.993993993994
Pancreas,R,1,333,0.3003003003003
Pancreas,D,15,333,4.50450450450451
Pancreas,AR,0,333,0
Pancreas,AD,4,333,1.2012012012012
Pancreas,RD,0,333,0
Pancreas,ADR,0,333,0
Pituitary,none,0,469,0
Pituitary,A,454,469,96.8017057569296
Pituitary,R,0,469,0
Pituitary,D,9,469,1.91897654584222
Pituitary,AR,1,469,0.213219616204691
Pituitary,AD,5,469,1.06609808102345
Pituitary,RD,0,469,0
Pituitary,ADR,0,469,0
Prostate,none,0,187,0
Prostate,A,182,187,97.3262032085562
Prostate,R,1,187,0.53475935828877
Prostate,D,3,187,1.60427807486631
Prostate,AR,1,187,0.53475935828877
Prostate,AD,0,187,0
Prostate,RD,0,187,0
Prostate,ADR,0,187,0
Salivary Gland,none,0,140,0
Salivary Gland,A,133,140,95
Salivary Gland,R,0,140,0
Salivary Gland,D,4,140,2.85714285714286
Salivary Gland,AR,1,140,0.714285714285714
Salivary Gland,AD,2,140,1.42857142857143
Salivary Gland,RD,0,140,0
Salivary Gland,ADR,0,140,0
Skin,none,0,622,0
Skin,A,592,622,95.1768488745981
Skin,R,1,622,0.160771704180064
Skin,D,18,622,2.89389067524116
Skin,AR,0,622,0
Skin,AD,11,622,1.76848874598071
Skin,RD,0,622,0
Skin,ADR,0,622,0
Small Intestine,none,0,115,0
Small Intestine,A,109,115,94.7826086956522
Small Intestine,R,2,115,1.73913043478261
Small Intestine,D,3,115,2.60869565217391
Small Intestine,AR,1,115,0.869565217391304
Small Intestine,AD,0,115,0
Small Intestine,RD,0,115,0
Small Intestine,ADR,0,115,0
Spleen,none,0,421,0
Spleen,A,400,421,95.0118764845606
Spleen,R,5,421,1.18764845605701
Spleen,D,11,421,2.61282660332542
Spleen,AR,1,421,0.237529691211401
Spleen,AD,4,421,0.950118764845606
Spleen,RD,0,421,0
Spleen,ADR,0,421,0
Stomach,none,0,189,0
Stomach,A,184,189,97.3544973544974
Stomach,R,0,189,0
Stomach,D,2,189,1.05820105820106
Stomach,AR,0,189,0
Stomach,AD,3,189,1.58730158730159
Stomach,RD,0,189,0
Stomach,ADR,0,189,0
Testis,none,0,724,0
Testis,A,690,724,95.3038674033149
Testis,R,1,724,0.138121546961326
Testis,D,23,724,3.1767955801105
Testis,AR,3,724,0.414364640883978
Testis,AD,7,724,0.966850828729282
Testis,RD,0,724,0
Testis,ADR,0,724,0
Thyroid,none,0,1205,0
Thyroid,A,1147,1205,95.1867219917012
Thyroid,R,1,1205,0.0829875518672199
Thyroid,D,28,1205,2.32365145228216
Thyroid,AR,2,1205,0.16597510373444
Thyroid,AD,26,1205,2.15767634854772
Thyroid,RD,1,1205,0.0829875518672199
Thyroid,ADR,0,1205,0
Uterus,none,0,79,0
Uterus,A,74,79,93.6708860759494
Uterus,R,0,79,0
Uterus,D,4,79,5.06329113924051
Uterus,AR,0,79,0
Uterus,AD,1,79,1.26582278481013
Uterus,RD,0,79,0
Uterus,ADR,0,79,0
Vagina,none,0,51,0
Vagina,A,50,51,98.0392156862745
Vagina,R,0,51,0
Vagina,D,1,51,1.96078431372549
Vagina,AR,0,51,0
Vagina,AD,0,51,0
Vagina,RD,0,51,0
Vagina,ADR,0,51,0
