"gene","tissue","issue","message"
"APOO","","gene_error","PLINK failed for APOO on chromosome X with exit status 7"
"APOOL","","gene_error","PLINK failed for APOOL on chromosome X with exit status 7"
"AR","","gene_error","PLINK failed for AR on chromosome X with exit status 7"
"ARAF","","gene_error","PLINK failed for ARAF on chromosome X with exit status 7"
"ARHGAP36","","gene_error","PLINK failed for ARHGAP36 on chromosome X with exit status 7"
"ARHGAP4","","gene_error","PLINK failed for ARHGAP4 on chromosome X with exit status 7"
"ARHGAP6","","gene_error","PLINK failed for ARHGAP6 on chromosome X with exit status 7"
"ARHGEF6","","gene_error","PLINK failed for ARHGEF6 on chromosome X with exit status 7"
"ARHGEF9","","gene_error","PLINK failed for ARHGEF9 on chromosome X with exit status 7"
"ARL13A","","gene_error","PLINK failed for ARL13A on chromosome X with exit status 7"
"ARMCX1","","gene_error","PLINK failed for ARMCX1 on chromosome X with exit status 7"
"ARMCX2","","gene_error","PLINK failed for ARMCX2 on chromosome X with exit status 7"
"ARMCX3","","gene_error","PLINK failed for ARMCX3 on chromosome X with exit status 7"
"ARMCX4","","gene_error","PLINK failed for ARMCX4 on chromosome X with exit status 7"
"ARMCX5-GPRASP2","","gene_error","PLINK failed for ARMCX5-GPRASP2 on chromosome X with exit status 7"
"ARMCX5","","gene_error","PLINK failed for ARMCX5 on chromosome X with exit status 7"
"ARMCX6","","gene_error","PLINK failed for ARMCX6 on chromosome X with exit status 7"
"ARR3","","gene_error","PLINK failed for ARR3 on chromosome X with exit status 7"
"ARSD","","gene_error","PLINK failed for ARSD on chromosome X with exit status 7"
"ARSF","","gene_error","PLINK failed for ARSF on chromosome X with exit status 7"
"ARSH","","gene_error","PLINK failed for ARSH on chromosome X with exit status 7"
"ARX","","gene_error","PLINK failed for ARX on chromosome X with exit status 7"
"ASB11","","gene_error","PLINK failed for ASB11 on chromosome X with exit status 7"
"ASB12","","gene_error","PLINK failed for ASB12 on chromosome X with exit status 7"
"ASB9","","gene_error","PLINK failed for ASB9 on chromosome X with exit status 7"
"ASMT","","gene_error","PLINK failed for ASMT on chromosome X with exit status 7"
"ASMTL","","gene_error","PLINK failed for ASMTL on chromosome X with exit status 7"
"ATG4A","","gene_error","PLINK failed for ATG4A on chromosome X with exit status 7"
"ATP11C","","gene_error","PLINK failed for ATP11C on chromosome X with exit status 7"
"ATP1B4","","gene_error","PLINK failed for ATP1B4 on chromosome X with exit status 7"
"ATP2B3","","gene_error","PLINK failed for ATP2B3 on chromosome X with exit status 7"
"ATP6AP1","","gene_error","PLINK failed for ATP6AP1 on chromosome X with exit status 7"
"ATP6AP2","","gene_error","PLINK failed for ATP6AP2 on chromosome X with exit status 7"
"ATP7A","","gene_error","PLINK failed for ATP7A on chromosome X with exit status 7"
"ATRX","","gene_error","PLINK failed for ATRX on chromosome X with exit status 7"
"ATXN3L","","gene_error","PLINK failed for ATXN3L on chromosome X with exit status 7"
"AVPR2","","gene_error","PLINK failed for AVPR2 on chromosome X with exit status 7"
"AWAT1","","gene_error","PLINK failed for AWAT1 on chromosome X with exit status 7"
"AWAT2","","gene_error","PLINK failed for AWAT2 on chromosome X with exit status 7"
"BCAP31","","gene_error","PLINK failed for BCAP31 on chromosome X with exit status 7"
"BCOR","","gene_error","PLINK failed for BCOR on chromosome X with exit status 7"
"BCORL1","","gene_error","PLINK failed for BCORL1 on chromosome X with exit status 7"
"BEND2","","gene_error","PLINK failed for BEND2 on chromosome X with exit status 7"
"BEX1","","gene_error","PLINK failed for BEX1 on chromosome X with exit status 7"
"BEX2","","gene_error","PLINK failed for BEX2 on chromosome X with exit status 7"
"BEX3","","gene_error","PLINK failed for BEX3 on chromosome X with exit status 7"
"BEX4","","gene_error","PLINK failed for BEX4 on chromosome X with exit status 7"
"BEX5","","gene_error","PLINK failed for BEX5 on chromosome X with exit status 7"
"BGN","","gene_error","PLINK failed for BGN on chromosome X with exit status 7"
"BHLHB9","","gene_error","PLINK failed for BHLHB9 on chromosome X with exit status 7"
"BMP15","","gene_error","PLINK failed for BMP15 on chromosome X with exit status 7"
"BMX","","gene_error","PLINK failed for BMX on chromosome X with exit status 7"
"BPY2","","gene_error","PLINK failed for BPY2 on chromosome Y with exit status 7"
"BPY2B","","gene_error","PLINK failed for BPY2B on chromosome Y with exit status 7"
"BPY2C","","gene_error","PLINK failed for BPY2C on chromosome Y with exit status 7"
"BRCC3","","gene_error","PLINK failed for BRCC3 on chromosome X with exit status 7"
"BRS3","","gene_error","PLINK failed for BRS3 on chromosome X with exit status 7"
"BRWD3","","gene_error","PLINK failed for BRWD3 on chromosome X with exit status 7"
"BTK","","gene_error","PLINK failed for BTK on chromosome X with exit status 7"
"C1GALT1C1","","gene_error","PLINK failed for C1GALT1C1 on chromosome X with exit status 7"
"CA5B","","gene_error","PLINK failed for CA5B on chromosome X with exit status 7"
"CACNA1F","","gene_error","PLINK failed for CACNA1F on chromosome X with exit status 7"
"CAPN6","","gene_error","PLINK failed for CAPN6 on chromosome X with exit status 7"
"CASK","","gene_error","PLINK failed for CASK on chromosome X with exit status 7"
"CBY1","","gene_error","PLINK failed for CBY1 on chromosome 22 with exit status 127"
"CCDC120","","gene_error","PLINK failed for CCDC120 on chromosome X with exit status 7"
"CCDC124","","gene_error","PLINK failed for CCDC124 on chromosome 19 with exit status 127"
"CCDC125","","gene_error","PLINK failed for CCDC125 on chromosome 5 with exit status 127"
"CCDC127","","gene_error","PLINK failed for CCDC127 on chromosome 5 with exit status 127"
"CCDC160","","gene_error","PLINK failed for CCDC160 on chromosome X with exit status 7"
"CCDC166","","gene_error","PLINK failed for CCDC166 on chromosome 8 with exit status 127"
"CCDC167","","gene_error","PLINK failed for CCDC167 on chromosome 6 with exit status 127"
"CCDC168","","gene_error","PLINK failed for CCDC168 on chromosome 13 with exit status 127"
"CCDC169","","gene_error","PLINK failed for CCDC169 on chromosome 13 with exit status 127"
"CCDC178","","gene_error","PLINK failed for CCDC178 on chromosome 18 with exit status 127"
"CCDC181","","gene_error","PLINK failed for CCDC181 on chromosome 1 with exit status 127"
"CCDC184","","gene_error","PLINK failed for CCDC184 on chromosome 12 with exit status 127"
"CCDC186","","gene_error","PLINK failed for CCDC186 on chromosome 10 with exit status 127"
"CCDC187","","gene_error","PLINK failed for CCDC187 on chromosome 9 with exit status 127"
"CCDC191","","gene_error","PLINK failed for CCDC191 on chromosome 3 with exit status 127"
"CCDC22","","gene_error","PLINK failed for CCDC22 on chromosome X with exit status 7"
"CCDC25","","gene_error","PLINK failed for CCDC25 on chromosome 8 with exit status 127"
"CCDC27","","gene_error","PLINK failed for CCDC27 on chromosome 1 with exit status 127"
"CCDC28B","","gene_error","PLINK failed for CCDC28B on chromosome 1 with exit status 127"
"CCNB3","","gene_error","PLINK failed for CCNB3 on chromosome X with exit status 7"
"CD40LG","","gene_error","PLINK failed for CD40LG on chromosome X with exit status 7"
"CD99","","gene_error","PLINK failed for CD99 on chromosome X with exit status 7"
"CD99L2","","gene_error","PLINK failed for CD99L2 on chromosome X with exit status 7"
"CDK16","","gene_error","PLINK failed for CDK16 on chromosome X with exit status 7"
"CDKL5","","gene_error","PLINK failed for CDKL5 on chromosome X with exit status 7"
"CDR1","","gene_error","PLINK failed for CDR1 on chromosome X with exit status 7"
"CDX4","","gene_error","PLINK failed for CDX4 on chromosome X with exit status 7"
"CDY1","","gene_error","PLINK failed for CDY1 on chromosome Y with exit status 7"
"CDY1B","","gene_error","PLINK failed for CDY1B on chromosome Y with exit status 7"
"CDY2A","","gene_error","PLINK failed for CDY2A on chromosome Y with exit status 7"
"CDY2B","","gene_error","PLINK failed for CDY2B on chromosome Y with exit status 7"
"CENPI","","gene_error","PLINK failed for CENPI on chromosome X with exit status 7"
"CENPVL1","","gene_error","PLINK failed for CENPVL1 on chromosome X with exit status 7"
"CENPVL2","","gene_error","PLINK failed for CENPVL2 on chromosome X with exit status 7"
"CENPVL3","","gene_error","PLINK failed for CENPVL3 on chromosome X with exit status 7"
"CETN2","","gene_error","PLINK failed for CETN2 on chromosome X with exit status 7"
"CFAP47","","gene_error","PLINK failed for CFAP47 on chromosome X with exit status 7"
"CFP","","gene_error","PLINK failed for CFP on chromosome X with exit status 7"
"CHIC1","","gene_error","PLINK failed for CHIC1 on chromosome X with exit status 7"
"CHM","","gene_error","PLINK failed for CHM on chromosome X with exit status 7"
"CHRDL1","","gene_error","PLINK failed for CHRDL1 on chromosome X with exit status 7"
"CHST7","","gene_error","PLINK failed for CHST7 on chromosome X with exit status 7"
"CITED1","","gene_error","PLINK failed for CITED1 on chromosome X with exit status 7"
"CLCN4","","gene_error","PLINK failed for CLCN4 on chromosome X with exit status 7"
"CLCN5","","gene_error","PLINK failed for CLCN5 on chromosome X with exit status 7"
"CLDN2","","gene_error","PLINK failed for CLDN2 on chromosome X with exit status 7"
"CLDN34","","gene_error","PLINK failed for CLDN34 on chromosome X with exit status 7"
"CLIC2","","gene_error","PLINK failed for CLIC2 on chromosome X with exit status 7"
"CNGA2","","gene_error","PLINK failed for CNGA2 on chromosome X with exit status 7"
"CNKSR2","","gene_error","PLINK failed for CNKSR2 on chromosome X with exit status 7"
"COL4A5","","gene_error","PLINK failed for COL4A5 on chromosome X with exit status 7"
"COL4A6","","gene_error","PLINK failed for COL4A6 on chromosome X with exit status 7"
"COX7B","","gene_error","PLINK failed for COX7B on chromosome X with exit status 7"
"CPXCR1","","gene_error","PLINK failed for CPXCR1 on chromosome X with exit status 7"
"CRLF2","","gene_error","PLINK failed for CRLF2 on chromosome X with exit status 7"
"CSAG1","","gene_error","PLINK failed for CSAG1 on chromosome X with exit status 7"
"CSAG2","","gene_error","PLINK failed for CSAG2 on chromosome X with exit status 7"
"CSAG3","","gene_error","PLINK failed for CSAG3 on chromosome X with exit status 7"
"CSF2RA","","gene_error","PLINK failed for CSF2RA on chromosome X with exit status 7"
"CSTF2","","gene_error","PLINK failed for CSTF2 on chromosome X with exit status 7"
"CT45A1","","gene_error","PLINK failed for CT45A1 on chromosome X with exit status 7"
"CT45A10","","gene_error","PLINK failed for CT45A10 on chromosome X with exit status 7"
"CT45A2","","gene_error","PLINK failed for CT45A2 on chromosome X with exit status 7"
"CT45A3","","gene_error","PLINK failed for CT45A3 on chromosome X with exit status 7"
"CT45A5","","gene_error","PLINK failed for CT45A5 on chromosome X with exit status 7"
"CT45A6","","gene_error","PLINK failed for CT45A6 on chromosome X with exit status 7"
"CT45A7","","gene_error","PLINK failed for CT45A7 on chromosome X with exit status 7"
"CT45A8","","gene_error","PLINK failed for CT45A8 on chromosome X with exit status 7"
"CT45A9","","gene_error","PLINK failed for CT45A9 on chromosome X with exit status 7"
"CT47A1","","gene_error","PLINK failed for CT47A1 on chromosome X with exit status 7"
"CT47A10","","gene_error","PLINK failed for CT47A10 on chromosome X with exit status 7"
"CT47A11","","gene_error","PLINK failed for CT47A11 on chromosome X with exit status 7"
"CT47A12","","gene_error","PLINK failed for CT47A12 on chromosome X with exit status 7"
"CT47A2","","gene_error","PLINK failed for CT47A2 on chromosome X with exit status 7"
"CT47A3","","gene_error","PLINK failed for CT47A3 on chromosome X with exit status 7"
"CT47A4","","gene_error","PLINK failed for CT47A4 on chromosome X with exit status 7"
"CT47A5","","gene_error","PLINK failed for CT47A5 on chromosome X with exit status 7"
"CT47A6","","gene_error","PLINK failed for CT47A6 on chromosome X with exit status 7"
"CT47A7","","gene_error","PLINK failed for CT47A7 on chromosome X with exit status 7"
"CT47A8","","gene_error","PLINK failed for CT47A8 on chromosome X with exit status 7"
"CT47A9","","gene_error","PLINK failed for CT47A9 on chromosome X with exit status 7"
"CT47B1","","gene_error","PLINK failed for CT47B1 on chromosome X with exit status 7"
"CT55","","gene_error","PLINK failed for CT55 on chromosome X with exit status 7"
"CT83","","gene_error","PLINK failed for CT83 on chromosome X with exit status 7"
"CTAG1A","","gene_error","PLINK failed for CTAG1A on chromosome X with exit status 7"
"CTAG1B","","gene_error","PLINK failed for CTAG1B on chromosome X with exit status 7"
"CTAG2","","gene_error","PLINK failed for CTAG2 on chromosome X with exit status 7"
"CTPS2","","gene_error","PLINK failed for CTPS2 on chromosome X with exit status 7"
"CUL4B","","gene_error","PLINK failed for CUL4B on chromosome X with exit status 7"
"CXCR3","","gene_error","PLINK failed for CXCR3 on chromosome X with exit status 7"
"CXorf38","","gene_error","PLINK failed for CXorf38 on chromosome X with exit status 7"
"CXorf49","","gene_error","PLINK failed for CXorf49 on chromosome X with exit status 7"
"CXorf49B","","gene_error","PLINK failed for CXorf49B on chromosome X with exit status 7"
"CXorf51A","","gene_error","PLINK failed for CXorf51A on chromosome X with exit status 7"
"CXorf51B","","gene_error","PLINK failed for CXorf51B on chromosome X with exit status 7"
"CXorf56","","gene_error","PLINK failed for CXorf56 on chromosome X with exit status 7"
"CXorf58","","gene_error","PLINK failed for CXorf58 on chromosome X with exit status 7"
"CXorf65","","gene_error","PLINK failed for CXorf65 on chromosome X with exit status 7"
"CXorf66","","gene_error","PLINK failed for CXorf66 on chromosome X with exit status 7"
"CYBB","","gene_error","PLINK failed for CYBB on chromosome X with exit status 7"
"CYLC1","","gene_error","PLINK failed for CYLC1 on chromosome X with exit status 7"
"CYSLTR1","","gene_error","PLINK failed for CYSLTR1 on chromosome X with exit status 7"
"DACH2","","gene_error","PLINK failed for DACH2 on chromosome X with exit status 7"
"DAZ1","","gene_error","PLINK failed for DAZ1 on chromosome Y with exit status 7"
"DAZ2","","gene_error","PLINK failed for DAZ2 on chromosome Y with exit status 7"
"DAZ3","","gene_error","PLINK failed for DAZ3 on chromosome Y with exit status 7"
"DAZ4","","gene_error","PLINK failed for DAZ4 on chromosome Y with exit status 7"
"DCAF12L1","","gene_error","PLINK failed for DCAF12L1 on chromosome X with exit status 7"
"DCAF12L2","","gene_error","PLINK failed for DCAF12L2 on chromosome X with exit status 7"
"DCAF8L1","","gene_error","PLINK failed for DCAF8L1 on chromosome X with exit status 7"
"DCAF8L2","","gene_error","PLINK failed for DCAF8L2 on chromosome X with exit status 7"
"DCANP1","","no_successful_tissues","No tissue fits in result"
"DCX","","gene_error","PLINK failed for DCX on chromosome X with exit status 7"
"DDX3X","","gene_error","PLINK failed for DDX3X on chromosome X with exit status 7"
"DDX3Y","","gene_error","PLINK failed for DDX3Y on chromosome Y with exit status 7"
"DDX53","","gene_error","PLINK failed for DDX53 on chromosome X with exit status 7"
"DGAT2L6","","gene_error","PLINK failed for DGAT2L6 on chromosome X with exit status 7"
"DGKK","","gene_error","PLINK failed for DGKK on chromosome X with exit status 7"
"DHRSX","","gene_error","PLINK failed for DHRSX on chromosome X with exit status 7"
"DIAPH2","","gene_error","PLINK failed for DIAPH2 on chromosome X with exit status 7"
"DKC1","","gene_error","PLINK failed for DKC1 on chromosome X with exit status 7"
"DLG3","","gene_error","PLINK failed for DLG3 on chromosome X with exit status 7"
"DMD","","gene_error","PLINK failed for DMD on chromosome X with exit status 7"
"DMRTC1","","gene_error","PLINK failed for DMRTC1 on chromosome X with exit status 7"
"DMRTC1B","","gene_error","PLINK failed for DMRTC1B on chromosome X with exit status 7"
"DNASE1L1","","gene_error","PLINK failed for DNASE1L1 on chromosome X with exit status 7"
"DOCK11","","gene_error","PLINK failed for DOCK11 on chromosome X with exit status 7"
"DRP2","","gene_error","PLINK failed for DRP2 on chromosome X with exit status 7"
"DUSP21","","gene_error","PLINK failed for DUSP21 on chromosome X with exit status 7"
"DUSP9","","gene_error","PLINK failed for DUSP9 on chromosome X with exit status 7"
"DYNLT3","","gene_error","PLINK failed for DYNLT3 on chromosome X with exit status 7"
"EBP","","gene_error","PLINK failed for EBP on chromosome X with exit status 7"
"EDA","","gene_error","PLINK failed for EDA on chromosome X with exit status 7"
"EDA2R","","gene_error","PLINK failed for EDA2R on chromosome X with exit status 7"
"EFHC2","","gene_error","PLINK failed for EFHC2 on chromosome X with exit status 7"
"EFNB1","","gene_error","PLINK failed for EFNB1 on chromosome X with exit status 7"
"EGFL6","","gene_error","PLINK failed for EGFL6 on chromosome X with exit status 7"
"EIF1AX","","gene_error","PLINK failed for EIF1AX on chromosome X with exit status 7"
"EIF1AY","","gene_error","PLINK failed for EIF1AY on chromosome Y with exit status 7"
"EIF2S3","","gene_error","PLINK failed for EIF2S3 on chromosome X with exit status 7"
"ELF4","","gene_error","PLINK failed for ELF4 on chromosome X with exit status 7"
"ELK1","","gene_error","PLINK failed for ELK1 on chromosome X with exit status 7"
"EMD","","gene_error","PLINK failed for EMD on chromosome X with exit status 7"
"ENOX2","","gene_error","PLINK failed for ENOX2 on chromosome X with exit status 7"
"ERAS","","gene_error","PLINK failed for ERAS on chromosome X with exit status 7"
"ERCC6L","","gene_error","PLINK failed for ERCC6L on chromosome X with exit status 7"
"ESX1","","gene_error","PLINK failed for ESX1 on chromosome X with exit status 7"
"F8","","gene_error","PLINK failed for F8 on chromosome X with exit status 7"
"F8A1","","gene_error","PLINK failed for F8A1 on chromosome X with exit status 7"
"F8A2","","gene_error","PLINK failed for F8A2 on chromosome X with exit status 7"
"F8A3","","gene_error","PLINK failed for F8A3 on chromosome X with exit status 7"
"F9","","gene_error","PLINK failed for F9 on chromosome X with exit status 7"
"FAAH2","","gene_error","PLINK failed for FAAH2 on chromosome X with exit status 7"
"FAM104B","","gene_error","PLINK failed for FAM104B on chromosome X with exit status 7"
"FAM120C","","gene_error","PLINK failed for FAM120C on chromosome X with exit status 7"
"FAM122B","","gene_error","PLINK failed for FAM122B on chromosome X with exit status 7"
"FAM122C","","gene_error","PLINK failed for FAM122C on chromosome X with exit status 7"
"FAM133A","","gene_error","PLINK failed for FAM133A on chromosome X with exit status 7"
"FAM155B","","gene_error","PLINK failed for FAM155B on chromosome X with exit status 7"
"FAM156A","","gene_error","PLINK failed for FAM156A on chromosome X with exit status 7"
"FAM156B","","gene_error","PLINK failed for FAM156B on chromosome X with exit status 7"
"FAM199X","","gene_error","PLINK failed for FAM199X on chromosome X with exit status 7"
"FAM236A","","gene_error","PLINK failed for FAM236A on chromosome X with exit status 7"
"FAM236B","","gene_error","PLINK failed for FAM236B on chromosome X with exit status 7"
"FAM236C","","gene_error","PLINK failed for FAM236C on chromosome X with exit status 7"
"FAM236D","","gene_error","PLINK failed for FAM236D on chromosome X with exit status 7"
"FAM3A","","gene_error","PLINK failed for FAM3A on chromosome X with exit status 7"
"FAM47A","","gene_error","PLINK failed for FAM47A on chromosome X with exit status 7"
"FAM47B","","gene_error","PLINK failed for FAM47B on chromosome X with exit status 7"
"FAM47C","","gene_error","PLINK failed for FAM47C on chromosome X with exit status 7"
"FAM50A","","gene_error","PLINK failed for FAM50A on chromosome X with exit status 7"
"FAM90A16P","","no_successful_tissues","No tissue fits in result"
"FAM90A17P","","no_successful_tissues","No tissue fits in result"
"FAM90A18P","","no_successful_tissues","No tissue fits in result"
"FAM90A19P","","no_successful_tissues","No tissue fits in result"
"FAM9A","","gene_error","PLINK failed for FAM9A on chromosome X with exit status 7"
"FAM9B","","gene_error","PLINK failed for FAM9B on chromosome X with exit status 7"
"FAM9C","","gene_error","PLINK failed for FAM9C on chromosome X with exit status 7"
"FANCB","","gene_error","PLINK failed for FANCB on chromosome X with exit status 7"
"FATE1","","gene_error","PLINK failed for FATE1 on chromosome X with exit status 7"
"FGD1","","gene_error","PLINK failed for FGD1 on chromosome X with exit status 7"
"FGF13","","gene_error","PLINK failed for FGF13 on chromosome X with exit status 7"
"FGF16","","gene_error","PLINK failed for FGF16 on chromosome X with exit status 7"
"FHL1","","gene_error","PLINK failed for FHL1 on chromosome X with exit status 7"
"FLNA","","gene_error","PLINK failed for FLNA on chromosome X with exit status 7"
"FMR1","","gene_error","PLINK failed for FMR1 on chromosome X with exit status 7"
"FMR1NB","","gene_error","PLINK failed for FMR1NB on chromosome X with exit status 7"
"FOXO4","","gene_error","PLINK failed for FOXO4 on chromosome X with exit status 7"
"FOXP3","","gene_error","PLINK failed for FOXP3 on chromosome X with exit status 7"
"FOXR2","","gene_error","PLINK failed for FOXR2 on chromosome X with exit status 7"
"FRMD7","","gene_error","PLINK failed for FRMD7 on chromosome X with exit status 7"
"FRMPD3","","gene_error","PLINK failed for FRMPD3 on chromosome X with exit status 7"
"FRMPD4","","gene_error","PLINK failed for FRMPD4 on chromosome X with exit status 7"
"FTHL17","","gene_error","PLINK failed for FTHL17 on chromosome X with exit status 7"
"FTSJ1","","gene_error","PLINK failed for FTSJ1 on chromosome X with exit status 7"
"FUNDC1","","gene_error","PLINK failed for FUNDC1 on chromosome X with exit status 7"
"FUNDC2","","gene_error","PLINK failed for FUNDC2 on chromosome X with exit status 7"
"G6PD","","gene_error","PLINK failed for G6PD on chromosome X with exit status 7"
"GAB3","","gene_error","PLINK failed for GAB3 on chromosome X with exit status 7"
"GABRA3","","gene_error","PLINK failed for GABRA3 on chromosome X with exit status 7"
"GABRE","","gene_error","PLINK failed for GABRE on chromosome X with exit status 7"
"GABRQ","","gene_error","PLINK failed for GABRQ on chromosome X with exit status 7"
"GAGE1","","gene_error","PLINK failed for GAGE1 on chromosome X with exit status 7"
"GAGE10","","gene_error","PLINK failed for GAGE10 on chromosome X with exit status 7"
"GAGE12B","","gene_error","PLINK failed for GAGE12B on chromosome X with exit status 7"
"GAGE12C","","gene_error","PLINK failed for GAGE12C on chromosome X with exit status 7"
"GAGE12D","","gene_error","PLINK failed for GAGE12D on chromosome X with exit status 7"
"GAGE12E","","gene_error","PLINK failed for GAGE12E on chromosome X with exit status 7"
"GAGE12F","","gene_error","PLINK failed for GAGE12F on chromosome X with exit status 7"
"GAGE12G","","gene_error","PLINK failed for GAGE12G on chromosome X with exit status 7"
"GAGE12H","","gene_error","PLINK failed for GAGE12H on chromosome X with exit status 7"
"GAGE12J","","gene_error","PLINK failed for GAGE12J on chromosome X with exit status 7"
"GAGE13","","gene_error","PLINK failed for GAGE13 on chromosome X with exit status 7"
"GAGE2A","","gene_error","PLINK failed for GAGE2A on chromosome X with exit status 7"
"GAGE2E","","gene_error","PLINK failed for GAGE2E on chromosome X with exit status 7"
"GATA1","","gene_error","PLINK failed for GATA1 on chromosome X with exit status 7"
"GCNA","","gene_error","PLINK failed for GCNA on chromosome X with exit status 7"
"GDI1","","gene_error","PLINK failed for GDI1 on chromosome X with exit status 7"
"GDPD2","","gene_error","PLINK failed for GDPD2 on chromosome X with exit status 7"
"GEMIN8","","gene_error","PLINK failed for GEMIN8 on chromosome X with exit status 7"
"GJB1","","gene_error","PLINK failed for GJB1 on chromosome X with exit status 7"
"GK","","gene_error","PLINK failed for GK on chromosome X with exit status 7"
"GLA","","gene_error","PLINK failed for GLA on chromosome X with exit status 7"
"GLOD5","","gene_error","PLINK failed for GLOD5 on chromosome X with exit status 7"
"GLRA2","","gene_error","PLINK failed for GLRA2 on chromosome X with exit status 7"
"GLUD2","","gene_error","PLINK failed for GLUD2 on chromosome X with exit status 7"
"GNL3L","","gene_error","PLINK failed for GNL3L on chromosome X with exit status 7"
"GPC3","","gene_error","PLINK failed for GPC3 on chromosome X with exit status 7"
"GPC4","","gene_error","PLINK failed for GPC4 on chromosome X with exit status 7"
"GPKOW","","gene_error","PLINK failed for GPKOW on chromosome X with exit status 7"
"GPM6B","","gene_error","PLINK failed for GPM6B on chromosome X with exit status 7"
"GPR101","","gene_error","PLINK failed for GPR101 on chromosome X with exit status 7"
"GPR119","","gene_error","PLINK failed for GPR119 on chromosome X with exit status 7"
"GPR143","","gene_error","PLINK failed for GPR143 on chromosome X with exit status 7"
"GPR173","","gene_error","PLINK failed for GPR173 on chromosome X with exit status 7"
"GPR174","","gene_error","PLINK failed for GPR174 on chromosome X with exit status 7"
"GPR34","","gene_error","PLINK failed for GPR34 on chromosome X with exit status 7"
"GPR50","","gene_error","PLINK failed for GPR50 on chromosome X with exit status 7"
"GPR82","","gene_error","PLINK failed for GPR82 on chromosome X with exit status 7"
"GPRASP1","","gene_error","PLINK failed for GPRASP1 on chromosome X with exit status 7"
"GPRASP2","","gene_error","PLINK failed for GPRASP2 on chromosome X with exit status 7"
"GRIA3","","gene_error","PLINK failed for GRIA3 on chromosome X with exit status 7"
"GRIPAP1","","gene_error","PLINK failed for GRIPAP1 on chromosome X with exit status 7"
"GRPR","","gene_error","PLINK failed for GRPR on chromosome X with exit status 7"
"GSPT2","","gene_error","PLINK failed for GSPT2 on chromosome X with exit status 7"
"GTPBP6","","gene_error","PLINK failed for GTPBP6 on chromosome X with exit status 7"
"GUCY2F","","gene_error","PLINK failed for GUCY2F on chromosome X with exit status 7"
"GYG2","","gene_error","PLINK failed for GYG2 on chromosome X with exit status 7"
"HAUS7","","gene_error","PLINK failed for HAUS7 on chromosome X with exit status 7"
"HCCS","","gene_error","PLINK failed for HCCS on chromosome X with exit status 7"
"HCFC1","","gene_error","PLINK failed for HCFC1 on chromosome X with exit status 7"
"HDAC6","","gene_error","PLINK failed for HDAC6 on chromosome X with exit status 7"
"HDAC8","","gene_error","PLINK failed for HDAC8 on chromosome X with exit status 7"
"HDX","","gene_error","PLINK failed for HDX on chromosome X with exit status 7"
"HEPH","","gene_error","PLINK failed for HEPH on chromosome X with exit status 7"
"HMGB3","","gene_error","PLINK failed for HMGB3 on chromosome X with exit status 7"
"HMGN5","","gene_error","PLINK failed for HMGN5 on chromosome X with exit status 7"
"HNRNPH2","","gene_error","PLINK failed for HNRNPH2 on chromosome X with exit status 7"
"HPRT1","","gene_error","PLINK failed for HPRT1 on chromosome X with exit status 7"
"HS6ST2","","gene_error","PLINK failed for HS6ST2 on chromosome X with exit status 7"
"HSD17B10","","gene_error","PLINK failed for HSD17B10 on chromosome X with exit status 7"
"HSFX1","","gene_error","PLINK failed for HSFX1 on chromosome X with exit status 7"
